Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Tuesday,17,ADa - PMax,"3,392",110,3.24%,AED,0.74,81.94,2.73%,3.00,27.32
Saturday,13,ADa - Eng,59,4,6.78%,AED,4.32,17.28,0.00%,0.00,0.00
Thursday,19,ADa - Eng,59,2,3.39%,AED,2.74,5.47,0.00%,0.00,0.00
Thursday,22,ADa - Eng,47,1,2.13%,AED,4.11,4.11,0.00%,0.00,0.00
Monday,1,ADa - Eng,42,3,7.14%,AED,4.31,12.93,0.00%,0.00,0.00
Sunday,22,ADa - Eng,30,2,6.67%,AED,2.62,5.24,0.00%,0.00,0.00
,,Total: Campaigns,"499,339","15,759",3.16%,AED,0.79,12527.96,1.63%,256.29,48.88
,,Total: Account,"499,339","15,759",3.16%,AED,0.79,12527.96,1.63%,256.29,48.88
,,Total: Search,"8,824",421,4.77%,AED,3.92,1649.27,0.48%,2.00,824.63
,,Total: Performance Max,"490,515","15,338",3.13%,AED,0.71,10878.69,1.66%,254.29,42.78
