Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Friday,17,ADa - PMax,"4,021",131,3.26%,AED,0.77,100.33,3.82%,5.00,20.05
Wednesday,1,ADa - PMax,"1,310",56,4.27%,AED,0.76,42.72,2.67%,1.50,28.52
Wednesday,22,ADa - Eng,24,1,4.17%,AED,7.23,7.23,0.00%,0.00,0.00
Monday,14,ADa - Eng,82,7,8.54%,AED,5.02,35.13,0.00%,0.00,0.00
Monday,15,ADa - Eng,38,1,2.63%,AED,4.85,4.85,0.00%,0.00,0.00
Friday,3,ADa - Eng,26,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Friday,19,ADa - Eng,10,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Sunday,4,ADa - PMax,718,23,3.20%,AED,0.83,19.01,0.00%,0.00,0.00
Saturday,0,ADa - Eng,75,2,2.67%,AED,4.90,9.80,0.00%,0.00,0.00
Saturday,18,ADa - Eng,5,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Friday,11,ADa - PMax,"3,791",94,2.48%,AED,1.05,98.78,1.06%,1.00,98.86
Thursday,16,ADa - PMax,"4,214",119,2.82%,AED,0.89,105.80,0.83%,0.99,106.70
Wednesday,16,ADa - PMax,"4,018",122,3.04%,AED,0.82,99.51,0.82%,1.00,99.48
Monday,12,ADa - PMax,"2,762",81,2.93%,AED,0.73,59.27,2.47%,2.00,29.64
Sunday,7,ADa - PMax,"1,207",41,3.40%,AED,0.74,30.39,2.44%,1.00,30.39
Saturday,3,ADa - PMax,"1,010",38,3.76%,AED,0.54,20.70,0.00%,0.00,0.00
Friday,14,ADa - PMax,"3,353",110,3.28%,AED,0.80,88.00,3.64%,4.00,22.00
Sunday,9,ADa - PMax,"2,009",59,2.94%,AED,0.80,46.95,1.69%,1.00,46.99
Saturday,2,ADa - Eng,43,2,4.65%,AED,3.88,7.76,0.00%,0.00,0.00
Saturday,17,ADa - Eng,6,3,50.00%,AED,7.66,22.99,0.00%,0.00,0.00
Friday,11,ADa - Eng,99,8,8.08%,AED,4.14,33.09,0.00%,0.00,0.00
Saturday,16,ADa - PMax,"3,750",139,3.71%,AED,0.72,99.43,1.44%,2.00,49.69
Thursday,8,ADa - PMax,"1,681",58,3.45%,AED,0.82,47.67,4.31%,2.50,19.07
Sunday,20,ADa - PMax,"4,663",202,4.33%,AED,0.57,114.33,0.67%,1.35,84.51
Wednesday,1,ADa - Eng,46,5,10.87%,AED,5.13,25.63,0.00%,0.00,0.00
Tuesday,16,ADa - Eng,51,4,7.84%,AED,4.54,18.15,0.00%,0.00,0.00
Monday,17,ADa - Eng,41,5,12.20%,AED,3.85,19.27,0.00%,0.00,0.00
Sunday,16,ADa - Eng,75,5,6.67%,AED,3.04,15.19,0.00%,0.00,0.00
Wednesday,4,ADa - Eng,15,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Sunday,6,ADa - Eng,21,0,0.00%,AED,0,0.00,0.00%,0.00,0.00
Wednesday,6,ADa - PMax,935,28,2.99%,AED,0.72,20.14,3.57%,1.00,20.14
Tuesday,0,ADa - PMax,"1,222",40,3.27%,AED,0.68,27.29,5.00%,2.00,13.64
Sunday,6,ADa - PMax,663,30,4.52%,AED,0.71,21.28,3.33%,1.00,21.28
