Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,11,ADa - Services,109,11,10.09%,USD,2.49,27.35,0.00%,0.00,0.00
Thursday,22,ADa - Competitors,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,1,ADa - Services,27,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,19,ADa - Services,54,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,2,ADa - Competitors,2,1,50.00%,USD,1.50,1.50,0.00%,0.00,0.00
Thursday,4,ADa - PMax,2,1,50.00%,USD,0.03,0.03,0.00%,0.00,0.00
Wednesday,15,ADa - PMax,38,8,21.05%,USD,0.02,0.20,0.00%,0.00,0.00
Sunday,8,ADa - PMax,16,9,56.25%,USD,0.05,0.41,0.00%,0.00,0.00
Friday,17,ADa - Services,58,2,3.45%,USD,2.98,5.95,0.00%,0.00,0.00
Tuesday,7,ADa - Services,17,1,5.88%,USD,2.96,2.96,0.00%,0.00,0.00
Monday,11,ADa - Services,164,8,4.88%,USD,2.02,16.12,0.00%,0.00,0.00
Wednesday,15,ADa - Competitors,19,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,10,ADa - Competitors,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,16,ADa - Services,35,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,13,ADa - Competitors,10,1,10.00%,USD,1.59,1.59,0.00%,0.00,0.00
Wednesday,4,ADa - Competitors,1,1,100.00%,USD,1.98,1.98,0.00%,0.00,0.00
Monday,12,ADa - Competitors,11,1,9.09%,USD,1.99,1.99,0.00%,0.00,0.00
Sunday,23,ADa - Competitors,5,1,20.00%,USD,0.97,0.97,0.00%,0.00,0.00
Friday,5,ADa - PMax,223,13,5.83%,USD,0.05,0.69,0.00%,0.00,0.00
Monday,3,ADa - PMax,117,5,4.27%,USD,0.03,0.14,0.00%,0.00,0.00
Monday,11,ADa - PMax,40,16,40.00%,USD,0.04,0.68,0.00%,0.00,0.00
Saturday,21,ADa - PMax,726,36,4.96%,USD,0.04,1.54,2.78%,1.00,1.54
Thursday,0,ADa - Services,34,3,8.82%,USD,2.92,8.77,0.00%,0.00,0.00
Thursday,2,ADa - Services,23,2,8.70%,USD,2.99,5.97,50.00%,1.00,5.97
Thursday,7,ADa - Services,43,3,6.98%,USD,2.47,7.40,0.00%,0.00,0.00
Thursday,17,ADa - Services,84,1,1.19%,USD,2.92,2.92,0.00%,0.00,0.00
Sunday,9,ADa - Services,57,3,5.26%,USD,1.83,5.50,0.00%,0.00,0.00
Tuesday,9,ADa - Competitors,17,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Monday,3,ADa - Competitors,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,1,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,13,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,6,ADa - Services,19,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,12,ADa - Competitors,11,1,9.09%,USD,1.95,1.95,0.00%,0.00,0.00
Friday,17,ADa - PMax,849,38,4.48%,USD,0.28,10.81,0.00%,0.00,0.00
Thursday,12,ADa - PMax,26,9,34.62%,USD,0.06,0.57,0.00%,0.00,0.00
Monday,9,ADa - PMax,250,21,8.40%,USD,0.13,2.72,0.00%,0.00,0.00
Monday,10,ADa - PMax,143,20,13.99%,USD,0.11,2.20,5.00%,1.00,2.20
Sunday,17,ADa - PMax,141,9,6.38%,USD,0.03,0.24,0.00%,0.00,0.00
Thursday,12,ADa - Services,138,9,6.52%,USD,2.50,22.46,0.00%,0.00,0.00
Tuesday,10,ADa - Services,74,3,4.05%,USD,2.07,6.20,0.00%,0.00,0.00
Saturday,9,ADa - Services,92,6,6.52%,USD,2.31,13.88,0.00%,0.00,0.00
Tuesday,0,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,5,ADa - PMax,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,16,ADa - Competitors,30,3,10.00%,USD,1.65,4.96,0.00%,0.00,0.00
Friday,15,ADa - PMax,996,46,4.62%,USD,0.21,9.47,0.00%,0.00,0.00
Thursday,2,ADa - PMax,6,2,33.33%,USD,0.01,0.02,0.00%,0.00,0.00
Sunday,17,ADa - Services,54,3,5.56%,USD,2.26,6.77,0.00%,0.00,0.00
Monday,22,ADa - Competitors,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,20,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,23,ADa - PMax,1,0,0.00%,USD,0,0.01,0.00%,0.00,0.00
Sunday,5,ADa - Services,10,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,20,ADa - Competitors,10,1,10.00%,USD,1.53,1.53,0.00%,0.00,0.00
Friday,3,ADa - PMax,186,6,3.23%,USD,0.03,0.15,0.00%,0.00,0.00
Friday,11,ADa - PMax,409,11,2.69%,USD,0.02,0.26,0.00%,0.00,0.00
Thursday,9,ADa - PMax,17,13,76.47%,USD,0.18,2.36,0.00%,0.00,0.00
Wednesday,4,ADa - PMax,11,1,9.09%,USD,0.19,0.19,0.00%,0.00,0.00
Tuesday,11,ADa - Services,106,4,3.77%,USD,2.34,9.35,0.00%,0.00,0.00
Saturday,1,ADa - Services,40,5,12.50%,USD,2.29,11.44,0.00%,0.00,0.00
Monday,5,ADa - Competitors,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,10,ADa - Competitors,26,4,15.38%,USD,1.72,6.86,0.00%,0.00,0.00
Monday,14,ADa - Competitors,25,2,8.00%,USD,1.94,3.87,0.00%,0.00,0.00
Thursday,13,ADa - Services,155,9,5.81%,USD,2.73,24.56,11.11%,1.00,24.56
Saturday,20,ADa - Services,45,5,11.11%,USD,2.94,14.68,0.00%,0.00,0.00
Wednesday,3,ADa - PMax,14,2,14.29%,USD,0.01,0.02,0.00%,0.00,0.00
Wednesday,17,ADa - PMax,40,3,7.50%,USD,0.07,0.20,0.00%,0.00,0.00
Monday,4,ADa - PMax,42,2,4.76%,USD,0.02,0.04,0.00%,0.00,0.00
Friday,12,ADa - Competitors,12,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,12,ADa - Competitors,21,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,5,ADa - Services,12,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,14,ADa - PMax,915,35,3.83%,USD,0.14,4.79,0.00%,0.00,0.00
Thursday,0,ADa - PMax,49,8,16.33%,USD,0.11,0.85,0.00%,0.00,0.00
Thursday,8,ADa - PMax,4,3,75.00%,USD,0.01,0.03,0.00%,0.00,0.00
Sunday,9,ADa - PMax,21,8,38.10%,USD,0.01,0.08,0.00%,0.00,0.00
Saturday,13,ADa - PMax,"1,330",89,6.69%,USD,0.04,3.26,0.00%,0.00,0.00
Tuesday,16,ADa - Competitors,16,2,12.50%,USD,1.99,3.97,0.00%,0.00,0.00
Tuesday,22,ADa - Competitors,13,1,7.69%,USD,1.99,1.99,0.00%,0.00,0.00
Saturday,22,ADa - Competitors,10,1,10.00%,USD,1.95,1.95,0.00%,0.00,0.00
Wednesday,6,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,18,ADa - Competitors,11,1,9.09%,USD,1.95,1.95,0.00%,0.00,0.00
Tuesday,11,ADa - Competitors,18,1,5.56%,USD,1.93,1.93,0.00%,0.00,0.00
Monday,18,ADa - Competitors,15,1,6.67%,USD,1.70,1.70,0.00%,0.00,0.00
Tuesday,12,ADa - PMax,61,13,21.31%,USD,0.45,5.90,15.38%,2.00,2.95
Monday,0,ADa - PMax,77,3,3.90%,USD,0.06,0.17,0.00%,0.00,0.00
Friday,22,ADa - Services,59,3,5.08%,USD,1.88,5.65,0.00%,0.00,0.00
Monday,21,ADa - Services,9,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,6,ADa - PMax,9,2,22.22%,USD,0.05,0.10,0.00%,0.00,0.00
Monday,7,ADa - PMax,58,6,10.34%,USD,0.20,1.19,0.00%,0.00,0.00
Monday,9,ADa - Competitors,14,3,21.43%,USD,1.85,5.54,0.00%,0.00,0.00
Wednesday,1,ADa - Services,24,2,8.33%,USD,2.75,5.50,50.00%,1.00,5.50
Wednesday,8,ADa - Services,97,3,3.09%,USD,1.65,4.96,0.00%,0.00,0.00
Tuesday,9,ADa - Services,45,7,15.56%,USD,2.56,17.90,0.00%,0.00,0.00
Sunday,5,ADa - PMax,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,1,ADa - Competitors,5,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,16,ADa - Competitors,15,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,3,ADa - Services,18,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,22,ADa - Services,21,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,23,ADa - Services,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,4,ADa - Competitors,1,1,100.00%,USD,1.98,1.98,0.00%,0.00,0.00
Wednesday,11,ADa - Competitors,14,2,14.29%,USD,1.73,3.46,0.00%,0.00,0.00
Wednesday,18,ADa - Competitors,32,1,3.13%,USD,2.00,2.00,0.00%,0.00,0.00
Friday,16,ADa - PMax,"1,051",40,3.81%,USD,0.29,11.49,0.00%,0.00,0.00
Wednesday,0,ADa - PMax,155,11,7.10%,USD,0.12,1.36,0.00%,0.00,0.00
Monday,8,ADa - PMax,96,13,13.54%,USD,0.03,0.34,0.00%,0.00,0.00
Friday,16,ADa - Services,94,3,3.19%,USD,2.51,7.53,0.00%,0.00,0.00
Thursday,11,ADa - Services,142,8,5.63%,USD,2.11,16.85,0.00%,0.00,0.00
Wednesday,3,ADa - Services,12,1,8.33%,USD,1.92,1.92,0.00%,0.00,0.00
Saturday,12,ADa - Services,97,5,5.15%,USD,2.60,12.99,0.00%,0.00,0.00
Saturday,21,ADa - Services,31,2,6.45%,USD,0.95,1.90,0.00%,0.00,0.00
Wednesday,2,ADa - Competitors,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,0,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,9,ADa - Competitors,27,2,7.41%,USD,1.62,3.23,0.00%,0.00,0.00
Wednesday,13,ADa - Competitors,20,3,15.00%,USD,1.62,4.86,0.00%,0.00,0.00
Saturday,21,ADa - Competitors,6,1,16.67%,USD,1.22,1.22,50.00%,0.50,2.44
Friday,13,ADa - PMax,602,25,4.15%,USD,0.11,2.76,0.00%,0.00,0.00
Wednesday,20,ADa - PMax,37,8,21.62%,USD,0.04,0.35,12.50%,1.00,0.35
Sunday,14,ADa - PMax,82,4,4.88%,USD,0.01,0.05,0.00%,0.00,0.00
Saturday,10,ADa - PMax,480,32,6.67%,USD,0.06,1.97,0.00%,0.00,0.00
Friday,4,ADa - Services,8,2,25.00%,USD,2.94,5.88,0.00%,0.00,0.00
Friday,6,ADa - Services,26,3,11.54%,USD,2.30,6.90,33.33%,1.00,6.90
Wednesday,16,ADa - Services,140,3,2.14%,USD,2.76,8.29,0.00%,0.00,0.00
Wednesday,20,ADa - Services,67,9,13.43%,USD,2.29,20.59,0.00%,0.00,0.00
Sunday,1,ADa - Services,26,1,3.85%,USD,1.44,1.44,0.00%,0.00,0.00
Saturday,17,ADa - Competitors,6,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,12,ADa - Competitors,25,1,4.00%,USD,1.94,1.94,0.00%,0.00,0.00
Tuesday,8,ADa - Competitors,14,2,14.29%,USD,1.98,3.95,0.00%,0.00,0.00
