Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Friday,20,ADa - PMax,"1,358",38,2.80%,USD,0.17,6.36,0.00%,0.00,0.00
Saturday,2,ADa - PMax,58,4,6.90%,USD,0.06,0.24,0.00%,0.00,0.00
Friday,1,ADa - Services,35,3,8.57%,USD,2.21,6.62,0.00%,0.00,0.00
Wednesday,7,ADa - Services,37,1,2.70%,USD,2.93,2.93,0.00%,0.00,0.00
Wednesday,0,ADa - Competitors,9,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,19,ADa - Competitors,10,1,10.00%,USD,0.96,0.96,0.00%,0.00,0.00
Sunday,13,ADa - Competitors,12,2,16.67%,USD,1.97,3.93,0.00%,0.00,0.00
Sunday,14,ADa - Competitors,18,3,16.67%,USD,1.91,5.73,0.00%,0.00,0.00
Sunday,16,ADa - Competitors,7,2,28.57%,USD,1.91,3.82,0.00%,0.00,0.00
Friday,8,ADa - PMax,224,15,6.70%,USD,0.08,1.14,0.00%,0.00,0.00
Wednesday,9,ADa - PMax,9,4,44.44%,USD,0.39,1.55,0.00%,0.00,0.00
Wednesday,18,ADa - PMax,37,3,8.11%,USD,0.22,0.66,0.00%,0.00,0.00
Wednesday,21,ADa - PMax,66,3,4.55%,USD,0.11,0.33,0.00%,0.00,0.00
Friday,19,ADa - Services,38,1,2.63%,USD,3.00,3.00,0.00%,0.00,0.00
Tuesday,13,ADa - Services,88,9,10.23%,USD,2.34,21.07,0.00%,0.00,0.00
Monday,7,ADa - Services,38,1,2.63%,USD,1.40,1.40,0.00%,0.00,0.00
Sunday,11,ADa - Services,118,5,4.24%,USD,2.82,14.09,0.00%,0.00,0.00
Friday,19,ADa - Competitors,11,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,9,ADa - Competitors,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,9,ADa - Competitors,19,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Saturday,15,ADa - Competitors,17,1,5.88%,USD,1.58,1.58,0.00%,0.00,0.00
Friday,19,ADa - PMax,868,33,3.80%,USD,0.25,8.19,0.00%,0.00,0.00
Tuesday,14,ADa - PMax,9,1,11.11%,USD,3.42,3.42,0.00%,0.00,0.00
Monday,22,ADa - PMax,26,2,7.69%,USD,0.14,0.29,0.00%,0.00,0.00
Friday,18,ADa - Services,32,1,3.13%,USD,1.89,1.89,0.00%,0.00,0.00
Saturday,7,ADa - Services,19,1,5.26%,USD,0.38,0.38,100.00%,1.00,0.38
Tuesday,21,ADa - Competitors,18,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Sunday,21,ADa - Competitors,7,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,6,ADa - PMax,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,2,ADa - Services,12,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Thursday,6,ADa - Services,17,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,14,ADa - Competitors,21,1,4.76%,USD,1.98,1.98,0.00%,0.00,0.00
Sunday,2,ADa - Competitors,6,1,16.67%,USD,1.91,1.91,0.00%,0.00,0.00
Saturday,16,ADa - Competitors,11,1,9.09%,USD,1.66,1.66,0.00%,0.00,0.00
Friday,1,ADa - PMax,651,17,2.61%,USD,0.07,1.17,0.00%,0.00,0.00
Friday,9,ADa - PMax,265,7,2.64%,USD,0.05,0.38,0.00%,0.00,0.00
Saturday,19,ADa - PMax,325,18,5.54%,USD,0.08,1.47,0.00%,0.00,0.00
Wednesday,0,ADa - Services,47,5,10.64%,USD,2.39,11.97,0.00%,0.00,0.00
Wednesday,11,ADa - Services,111,6,5.41%,USD,2.59,15.57,0.00%,0.00,0.00
Tuesday,8,ADa - Services,45,4,8.89%,USD,2.42,9.69,0.00%,0.00,0.00
Friday,5,ADa - Competitors,3,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Friday,21,ADa - Competitors,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Wednesday,12,ADa - Competitors,23,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Tuesday,6,ADa - Competitors,2,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
