Matched locations report
1 October 2025 - 31 December 2025
Matched location,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
United Arab Emirates,"2,450","39,307",6.23%,USD,0.68,1671.72,1.42%,36.00,46.44
Total: Locations,"2,450","39,307",6.23%,USD,0.68,1671.72,1.42%,36.00,46.44
Total: Account,"2,450","39,307",6.23%,USD,0.68,1671.72,1.42%,36.00,46.44
Total: Performance Max,"1,820","29,104",6.25%,USD,0.14,250.62,1.05%,20.00,12.53
Total: Search,630,"10,203",6.17%,USD,2.26,1421.10,2.54%,16.00,88.82
