period,post_count,reactions,comments,views,reposts
2026-02-16,7,14,7,284,0
2026-02-23,6,13,6,502,0
2026-03-02,6,10,9,3496,1
2026-03-09,6,16,8,388,2
2026-03-16,1,2,1,35,0
