device,impressions,clicks,ctr,avg_cpc,cost,conversions,cpa,conv_rate
mobile devices with full browsers,531907,19971,0.0375460371831918,0.6758885637674629,13498.170507,307.883575,43.84180126205173,0.010689659572251927
computers,9935,124,0.012481127327629592,3.0176003306451613,374.182441,0.0,0.0,0.0
tablets with full browsers,329,9,0.02735562310030395,1.1398992222222222,10.259093,0.0,0.0,0.0
