campaign_status,campaign_name,impressions,clicks,ctr,avg_cpc,cost,conversions,cpa,conv_rate
active,ADa - PMax,530203,19479,0.0367387585509701,0.6280183196262642,12233.168848,301.883575,40.52280369344374,0.010833790597523776
active,ADa - Eng,9466,502,0.053031903655186986,3.143362982071713,1577.968217,3.0,525.9894056666667,0.00597609561752988
paused,ADa - Pmax - Local,2502,123,0.049160671462829736,0.5810973658536586,71.474976,3.0,23.824992,0.003826530612244898
