Household income report
1 January 2026 - 26 March 2026
Demographic status,Household income,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,11 - 20%,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | Competitors | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Competitors | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Competitors | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Competitors | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Competitors | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | NL,Brand,Campaign paused, --,EUR,101.47,984,311,31.61%,0.32,99.85,15.19%,47.25,2.11
Enabled,Unknown,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,392.00,5,3,60.00%,0.65,1.96,0.00%,0.00,0.00
Enabled,41 - 50%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,110.33,27,11,40.74%,0.27,2.98,0.00%,0.00,0.00
Enabled,21 - 30%,S | Brand | NL,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,DGen | EN,All Products,Campaign paused, --,EUR,0.72,"446,407","1,440",0.32%,0.22,322.04,0.00%,0.00,0.00
Enabled,Top 10%,DGen | EN,All Products,Campaign paused, --,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,DGen | EN,All Products,Campaign paused, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,29.57,95,33,34.74%,0.09,2.81,12.12%,4.00,0.70
Enabled,21 - 30%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,1415.00,2,1,50.00%,2.83,2.83,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,54.42,"7,431",423,5.69%,0.96,404.36,0.47%,2.00,202.18
Enabled,31 - 40%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,68.96,264,13,4.92%,1.40,18.20,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,38.57,"3,915",194,4.96%,0.78,150.99,1.55%,3.00,50.33
Enabled,41 - 50%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,36.73,"1,903",100,5.25%,0.70,69.90,1.00%,1.00,69.90
Enabled,Top 10%,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | UK,Brand,Campaign paused, --,EUR,98.33,6,2,33.33%,0.30,0.59,0.00%,0.00,0.00
Enabled,Top 10%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | Brand | UK,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Exact,Eligible, --,EUR,23.07,62,18,29.03%,0.08,1.43,27.78%,5.00,0.29
Enabled,11 - 20%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Phrase,Eligible, --,EUR,90.87,23,3,13.04%,0.70,2.09,0.00%,0.00,0.00
Enabled,Unknown,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights ladder resist,Campaign paused, --,EUR,84.62,124,12,9.68%,0.87,10.49,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,tights does not break,Campaign paused, --,EUR,1925.00,2,1,50.00%,3.85,3.85,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Lower 50%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,tights anti ladder,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,tights does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,21 - 30%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Top 10%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,41 - 50%,S | General | UK,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,31 - 40%,S | General | UK,tights ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,11 - 20%,S | General | UK,tights 80 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
