Gender report
1 January 2026 - 26 March 2026
Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Unknown,S | General | EU | DE,strumpfhosen 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty stippen,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 80 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | DE,strumpfhosen anti ladder,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty ladder resist,Campaign paused, --,EUR,191.00,20,1,5.00%,3.82,3.82,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,496.39,8,1,12.50%,3.97,3.97,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor zeeman,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor wolford,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 30 dernier plus size,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor kruidvat,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor sheertex,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor calzedonia,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty does not break,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty strong,Campaign paused, --,EUR,89.91,"1,179",39,3.31%,2.72,106.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,216.00,10,1,10.00%,2.16,2.16,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty strong,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor hedoïne,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor blom kousen,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty zwarte,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,88.51,"1,141",52,4.56%,1.94,100.99,1.92%,1.00,100.99
Enabled,Female,S | General | NL,panty does not break,Campaign paused, --,EUR,107.12,"2,452",138,5.63%,1.90,262.65,3.26%,4.50,58.37
Enabled,Female,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor marcmarcs,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 30 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty ladder resist,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | DE,strumpfhosen 80 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | DE,strumpfhosen ladder resist,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | DE,strumpfhosen ladder resist,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | DE,strumpfhosen bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | DE,strumpfhosen anti ladder,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | DE,strumpfhosen onverwoestbare,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty stippen,Campaign paused, --,EUR,50.10,782,19,2.43%,2.06,39.18,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty strong,Campaign paused, --,EUR,73.63,"1,951",80,4.10%,1.80,143.66,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty does not break,Campaign paused, --,EUR,77.70,"2,184",94,4.30%,1.81,169.70,3.19%,3.00,56.57
Enabled,Female,S | General | NL,panty ladder resist,Campaign paused, --,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty bijenkorf,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | DE,strumpfhosen does not break,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder best,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 50 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor swedish stockings,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | DE,strumpfhosen onverwoestbare,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | NL,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,38.17,828,49,5.92%,0.65,31.61,2.04%,1.00,31.61
Enabled,Unknown,S | Competitors | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor falke,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,tights anti ladder,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,tights black,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,35.59,"1,076",51,4.74%,0.75,38.30,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor kruidvat,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
