Device report
1 October 2025 - 31 December 2025
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
TV screens,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | EU | EN, --, --,None,EUR,0.95,96,2,2.08%,0.05,0.09,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Rem | EU | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | NL | New, --, --,None,EUR,4.61,"13,449",648,4.82%,0.10,62.00,0.31%,2.00,31.00
Mobile Phones,Campaign,Rem | EU | EN, --, --,None,EUR,20.82,"2,198",67,3.05%,0.68,45.76,0.00%,0.00,0.00
Computers,Campaign,S | Competitors | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | NL | New, --, --,None,EUR,16.44,"9,607",174,1.81%,0.91,157.99,2.87%,5.00,31.60
Mobile Phones,Campaign,PMax | Rem | NL | New, --, --,None,EUR,12.85,"231,141","11,180",4.84%,0.27,2969.87,1.06%,118.68,25.02
Tablets,Campaign,S | Competitors | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | UK, --, --,None,EUR,22.99,133,85,63.91%,0.04,3.06,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | UK, --, --,None,EUR,7.19,"72,179","2,783",3.86%,0.19,518.74,0.36%,10.00,51.87
TV screens,Campaign,PMax | Rem | NL | New, --, --,None,EUR,8.67,435,233,53.56%,0.02,3.77,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,DGen | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | DE, --, --,None,EUR,1.25,"16,245",271,1.67%,0.07,20.28,0.00%,0.00,0.00
Tablets,Campaign,DGen | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | DE, --, --,None,EUR,12.59,"54,302","2,178",4.01%,0.31,683.86,0.41%,9.00,75.98
Computers,Campaign,PMax | Rem | DE, --, --,None,EUR,8.36,"9,480",114,1.20%,0.70,79.24,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | DE, --, --,None,EUR,7.24,57,47,82.46%,0.01,0.41,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,DGen | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,DGen | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | NL, --, --,None,EUR,0.00,563,0,0.00%,0,0.00,0.00%,2.00,0.00
Mobile Phones,Campaign,Rem | NL, --, --,None,EUR,7.65,"14,923",130,0.87%,0.88,114.15,0.00%,0.00,0.00
Tablets,Campaign,Rem | NL, --, --,None,EUR,15.22,184,3,1.63%,0.93,2.80,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
