Age report
1 October 2025 - 31 December 2025
Demographic status,Age,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,65+,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,442.50,4,1,25.00%,1.77,1.77,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty strong,Campaign paused, --,EUR,77.52,173,14,8.09%,0.96,13.41,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty ladder resist,Campaign paused, --,EUR,39.67,30,1,3.33%,1.19,1.19,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,137.44,86,9,10.47%,1.31,11.82,11.11%,1.00,11.82
Enabled,Unknown,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,71.89,53,2,3.77%,1.91,3.81,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,panty stippen,Campaign paused, --,EUR,54.50,"1,318",54,4.10%,1.33,71.83,4.32%,2.33,30.78
Enabled,Unknown,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty 80 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,123.26,252,23,9.13%,1.35,31.06,4.35%,1.00,31.06
Enabled,18 - 24,S | General | NL,panty anti ladder,Campaign paused, --,EUR,52.48,105,4,3.81%,1.38,5.51,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty ladder resist,Campaign paused, --,EUR,160.00,3,1,33.33%,0.48,0.48,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty ladder resist,Campaign paused, --,EUR,111.88,16,1,6.25%,1.79,1.79,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty 30 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty does not break,Campaign paused, --,EUR,64.82,234,19,8.12%,0.80,15.17,6.24%,1.18,12.80
Enabled,35 - 44,S | General | NL,panty stippen,Campaign paused, --,EUR,54.86,"1,413",55,3.89%,1.41,77.52,5.45%,3.00,25.84
Enabled,45 - 54,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty bijenkorf,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,panty zwarte,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty 30 dernier plus size,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | NL,panty strong,Campaign paused, --,EUR,43.24,13,1,7.69%,0.56,0.56,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty onverwoestbare,Campaign paused, --,EUR,119.98,"1,085",120,11.06%,1.08,130.18,3.61%,4.33,30.04
Enabled,25 - 34,S | General | NL,panty anti ladder zwart,Campaign paused, --,EUR,0.00,27,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Remarketing,Add payment info,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,25.60,225,7,3.11%,0.82,5.76,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,30.23,"1,576",85,5.39%,0.56,47.64,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,29.56,45,2,4.44%,0.67,1.33,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,31.78,646,40,6.19%,0.51,20.53,2.50%,1.00,20.53
Enabled,Unknown,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,41.41,"1,212",103,8.50%,0.49,50.19,0.97%,1.00,50.19
Enabled,55 - 64,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,179.81,52,5,9.62%,1.87,9.35,0.00%,0.00,0.00
Enabled,65+,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,17.02,439,23,5.24%,0.32,7.47,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,43.83,526,40,7.60%,0.58,23.06,2.50%,1.00,23.06
Enabled,35 - 44,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,68.87,529,53,10.02%,0.69,36.43,4.72%,2.50,14.57
Enabled,25 - 34,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,47.62,761,57,7.49%,0.64,36.24,3.51%,2.00,18.12
Enabled,55 - 64,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,40.96,393,12,3.05%,1.34,16.10,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,22.32,56,2,3.57%,0.62,1.25,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,31.38,27,3,11.11%,0.28,0.85,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,74.22,80,8,10.00%,0.74,5.94,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,24.68,250,9,3.60%,0.69,6.17,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,47.05,669,49,7.32%,0.64,31.47,9.18%,4.50,6.99
Enabled,18 - 24,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,70.12,156,17,10.90%,0.64,10.94,0.00%,0.00,0.00
Enabled,18 - 24,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,70.68,89,5,5.62%,1.26,6.29,0.00%,0.00,0.00
Enabled,35 - 44,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,47.23,183,12,6.56%,0.72,8.64,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,74.32,120,6,5.00%,1.49,8.92,0.00%,0.00,0.00
Enabled,18 - 24,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,107.70,126,15,11.90%,0.90,13.57,13.33%,2.00,6.79
Enabled,25 - 34,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,43.02,896,76,8.48%,0.51,38.55,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,32.04,"1,817",104,5.72%,0.56,58.22,0.96%,1.00,58.22
Enabled,35 - 44,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,13.90,207,7,3.38%,0.41,2.88,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,175.05,11,4,36.36%,0.48,1.93,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,58.50,108,10,9.26%,0.63,6.32,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,32.84,94,7,7.45%,0.44,3.09,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,32.01,98,6,6.12%,0.52,3.14,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,71.38,313,24,7.67%,0.93,22.34,4.17%,1.00,22.34
Enabled,55 - 64,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,26.22,94,3,3.19%,0.82,2.46,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,169.28,14,2,14.29%,1.18,2.37,0.00%,0.00,0.00
Enabled,65+,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,37.68,274,18,6.57%,0.57,10.32,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | FR,14 days add cart,Campaign paused, --,EUR,10.02,583,17,2.92%,0.34,5.84,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,17.67,640,24,3.75%,0.47,11.31,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,27.50,28,2,7.14%,0.39,0.77,0.00%,0.00,0.00
Enabled,45 - 54,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | FR,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Brand | UK,Brand,Campaign paused, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,65+,S | Brand | UK,Brand,Campaign paused, --,EUR,162.50,4,2,50.00%,0.33,0.65,0.00%,0.00,0.00
Enabled,45 - 54,S | Brand | UK,Brand,Campaign paused, --,EUR,375.00,2,1,50.00%,0.75,0.75,0.00%,0.00,0.00
Enabled,25 - 34,S | Brand | UK,Brand,Campaign paused, --,EUR,1482.86,7,3,42.86%,3.46,10.38,0.00%,0.00,0.00
Enabled,35 - 44,S | Brand | UK,Brand,Campaign paused, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | UK,Brand,Campaign paused, --,EUR,14.00,10,3,30.00%,0.05,0.14,0.00%,0.00,0.00
Enabled,55 - 64,S | Brand | UK,Brand,Campaign paused, --,EUR,71.67,6,2,33.33%,0.22,0.43,0.00%,0.00,0.00
Enabled,65+,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,8.13,16,4,25.00%,0.03,0.13,0.00%,0.00,0.00
Enabled,55 - 64,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,170.00,2,2,100.00%,0.17,0.34,0.00%,0.00,0.00
Enabled,45 - 54,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,50.00,1,1,100.00%,0.05,0.05,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,16.42,276,10,3.62%,0.45,4.53,0.00%,0.00,0.00
Enabled,65+,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,16.05,573,17,2.97%,0.54,9.20,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,2.95,643,11,1.71%,0.17,1.89,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,7.20,146,12,8.22%,0.09,1.05,0.00%,0.00,0.00
Enabled,55 - 64,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,46.05,498,10,2.01%,2.29,22.93,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,18 - 24,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,81.61,73,5,6.85%,1.19,5.96,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,2.60,109,4,3.67%,0.07,0.28,0.00%,0.00,0.00
Enabled,55 - 64,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,820.10,92,11,11.96%,6.86,75.45,18.18%,2.00,37.72
Enabled,Unknown,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,311.62,188,36,19.15%,1.63,58.58,16.67%,6.00,9.76
Enabled,65+,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,35 - 44,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,55 - 64,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,32.27,546,17,3.11%,1.04,17.62,0.00%,0.00,0.00
Removed,65+,DGen | EN,All Products,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,566.21,200,40,20.00%,2.83,113.24,12.50%,5.00,22.65
Enabled,55 - 64,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,525.83,99,8,8.08%,6.51,52.06,0.00%,0.00,0.00
Removed,55 - 64,DGen | EN,All Products,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,0.63,95,1,1.05%,0.06,0.06,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,383.15,"1,027",96,9.35%,4.10,393.50,11.46%,11.00,35.77
Enabled,18 - 24,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,224.84,31,5,16.13%,1.39,6.97,20.00%,1.00,6.97
Enabled,18 - 24,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,2.39,163,6,3.68%,0.06,0.39,0.00%,0.00,0.00
Enabled,55 - 64,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,65+,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,66.33,612,28,4.58%,1.45,40.59,0.00%,0.00,0.00
Removed,Unknown,DGen | EN,All Products,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,25 - 34,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,45 - 54,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,19.27,764,22,2.88%,0.67,14.72,0.00%,0.00,0.00
