Location report
1 January 2026 - 26 March 2026
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Lithuania,S | General | EU | EN, --,EUR,36.57,453,33,7.28%,0.50,16.56,0.00%,0.00,0.00
Sweden,S | General | EU | EN, --,EUR,76.21,645,43,6.67%,1.14,49.16,2.33%,1.00,49.16
Finland,S | General | EU | EN, --,EUR,41.26,588,31,5.27%,0.78,24.26,0.00%,0.00,0.00
Slovenia,S | General | EU | EN, --,EUR,45.30,418,32,7.66%,0.59,18.93,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | EN, --,EUR,27.03,516,28,5.43%,0.50,13.95,0.00%,0.00,0.00
Montenegro,S | General | EU | EN, --,EUR,16.61,77,5,6.49%,0.26,1.28,0.00%,0.00,0.00
Italy,S | General | EU | EN, --,EUR,60.27,488,31,6.35%,0.95,29.41,6.45%,2.00,14.71
Czechia,S | General | EU | EN, --,EUR,34.92,181,8,4.42%,0.79,6.32,0.00%,0.00,0.00
Hungary,S | General | EU | EN, --,EUR,50.92,"1,635",51,3.12%,1.63,83.26,0.00%,0.00,0.00
Norway,S | General | EU | EN, --,EUR,44.30,227,13,5.73%,0.77,10.06,0.00%,0.00,0.00
Denmark,S | General | EU | EN, --,EUR,77.36,735,47,6.39%,1.21,56.86,2.13%,1.00,56.86
North Macedonia,S | General | EU | EN, --,EUR,18.13,231,8,3.46%,0.52,4.19,0.00%,0.00,0.00
United Kingdom,S | Brand | UK, --,EUR,98.33,6,2,33.33%,0.30,0.59,0.00%,0.00,0.00
Belgium,Rem | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Rem | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,PMax | Rem | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Sh | General | NL | old, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
New Zealand,PMax | Rem | AU-NZ | EN, --,EUR,12.70,"1,048",65,6.20%,0.20,13.31,0.00%,0.00,0.00
Australia,PMax | Rem | AU-NZ | EN, --,EUR,22.63,"2,409",66,2.74%,0.83,54.51,0.00%,0.00,0.00
Serbia,S | Brand | EU | EN, --,EUR,262.00,5,3,60.00%,0.44,1.31,0.00%,0.00,0.00
Finland,S | Brand | EU | EN, --,EUR,1.67,6,1,16.67%,0.01,0.01,0.00%,0.00,0.00
Denmark,S | Brand | EU | EN, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Poland,S | Brand | EU | EN, --,EUR,134.00,5,1,20.00%,0.67,0.67,0.00%,0.00,0.00
France,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | Brand | EU | EN, --,EUR,5.44,1,2,200.00%,0.00,0.01,0.00%,0.00,0.00
Hungary,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | Brand | EU | EN, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,S | Brand | EU | EN, --,EUR,135.00,4,3,75.00%,0.18,0.54,0.00%,0.00,0.00
Slovakia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,S | Brand | EU | EN, --,EUR,443.44,1,1,100.00%,0.44,0.44,0.00%,0.00,0.00
Greece,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,S | Competitors | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Remarketing, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,Rem | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
