Location report
1 January 2026 - 26 March 2026
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Poland,DGen | EN,All Products,EUR,0.38,"74,566",170,0.23%,0.17,28.54,0.00%,0.00,0.00
Portugal,DGen | EN,All Products,EUR,0.47,"27,419",109,0.40%,0.12,12.97,0.00%,0.00,0.00
Austria,DGen | EN,All Products,EUR,1.30,"10,711",18,0.17%,0.78,13.98,0.00%,0.00,0.00
Norway,DGen | EN,All Products,EUR,0.65,"21,765",71,0.33%,0.20,14.06,0.00%,0.00,0.00
Slovakia,DGen | EN,All Products,EUR,0.54,"30,278",102,0.34%,0.16,16.44,0.00%,0.00,0.00
France,DGen | EN,All Products,EUR,0.54,"32,988",97,0.29%,0.18,17.72,0.00%,0.00,0.00
Spain,DGen | EN,All Products,EUR,0.61,"46,765",172,0.37%,0.17,28.67,0.00%,0.00,0.00
Italy,DGen | EN,All Products,EUR,0.58,"28,155",130,0.46%,0.12,16.22,0.00%,0.00,0.00
Slovenia,DGen | EN,All Products,EUR,0.99,"24,896",124,0.50%,0.20,24.56,0.00%,0.00,0.00
Belgium,DGen | EN,All Products,EUR,0.81,"16,651",36,0.22%,0.38,13.57,0.00%,0.00,0.00
Sweden,DGen | EN,All Products,EUR,0.70,"18,909",63,0.33%,0.21,13.28,0.00%,0.00,0.00
Germany,DGen | EN,All Products,EUR,1.44,"26,517",62,0.23%,0.62,38.24,0.00%,0.00,0.00
Czechia,DGen | EN,All Products,EUR,0.44,"35,311",100,0.28%,0.16,15.71,0.00%,0.00,0.00
Netherlands,DGen | EN,All Products,EUR,1.34,"15,338",57,0.37%,0.36,20.53,0.00%,0.00,0.00
Finland,DGen | EN,All Products,EUR,1.51,"10,493",50,0.48%,0.32,15.86,0.00%,0.00,0.00
Belgium,Ehsan - Generic Search_Dutch_NL/BE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,PMax | General | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Ehsan - Generic Search_Dutch_NL/BE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Sh | General | NL, --,EUR,18.00,"2,911",44,1.51%,1.19,52.41,0.00%,0.00,0.00
Canada,PMax | Rem | CA | EN, --,EUR,8.56,"2,460",117,4.76%,0.18,21.05,0.00%,0.00,0.00
Netherlands,ADa_Pants_NL, --,EUR,13.76,"23,549","1,103",4.68%,0.29,324.00,0.18%,2.00,162.00
Belgium,S | General | NL, --,EUR,113.78,"2,671",138,5.17%,2.20,303.91,5.07%,7.00,43.42
Netherlands,S | General | NL, --,EUR,93.23,"9,653",430,4.45%,2.09,899.93,1.74%,7.50,119.99
Netherlands,ADa_Brand_NL, --,EUR,41.42,85,21,24.71%,0.17,3.52,23.81%,5.00,0.70
Romania,PMax | Rem | EU | EN, --,EUR,4.28,"13,413",596,4.44%,0.10,57.36,0.00%,0.00,0.00
Finland,PMax | Rem | EU | EN, --,EUR,10.84,"2,066",79,3.82%,0.28,22.39,1.27%,1.00,22.39
Switzerland,PMax | Rem | EU | EN, --,EUR,22.74,"2,387",110,4.61%,0.49,54.28,0.91%,1.00,54.28
Netherlands,S | Brand | NL, --,EUR,91.27,810,243,30.00%,0.30,73.93,16.56%,40.25,1.84
Denmark,PMax | Rem | EU | EN, --,EUR,33.71,"2,084",52,2.50%,1.35,70.25,0.00%,0.00,0.00
Belgium,PMax | Rem | EU | EN, --,EUR,11.93,"4,783",830,17.35%,0.07,57.05,0.00%,0.00,0.00
Italy,PMax | Rem | EU | EN, --,EUR,6.32,"5,376",275,5.12%,0.12,33.99,0.36%,1.00,33.99
Hungary,PMax | Rem | EU | EN, --,EUR,7.26,"6,957",149,2.14%,0.34,50.52,0.00%,0.00,0.00
Germany,PMax | Rem | EU | EN, --,EUR,9.60,"8,121",343,4.22%,0.23,77.98,0.58%,2.00,38.99
Belgium,S | Brand | NL, --,EUR,148.94,174,68,39.08%,0.38,25.92,10.29%,7.00,3.70
