Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Friday,14,S | General | UK,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,6,S | General | UK,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,10,PMax | Rem | US | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,12,PMax | Rem | US | EN,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,22,PMax | Rem | US | EN,EUR,0.00,26,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,22,PMax | Rem | US | EN,EUR,0.00,23,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,10,PMax | Rem | US | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,0,S | General | NL,EUR,0.00,76,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,15,PMax | Rem | AU-NZ | EN,EUR,0.98,13,0,0.00%,0,0.01,0.00%,0.00,0.00
Wednesday,14,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,23,PMax | Rem | AU-NZ | EN,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,17,ADa_Brand_NL,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,8,S | Brand | NL,EUR,7.50,4,2,50.00%,0.02,0.03,50.00%,1.00,0.03
Tuesday,12,S | Brand | NL,EUR,218.27,6,3,50.00%,0.44,1.31,66.67%,2.00,0.65
Thursday,1,PMax | Rem | DE,EUR,11.11,92,2,2.17%,0.51,1.02,0.00%,0.00,0.00
Thursday,19,PMax | Rem | DE,EUR,23.82,281,17,6.05%,0.39,6.69,0.00%,0.00,0.00
Tuesday,15,PMax | Rem | DE,EUR,5.23,847,24,2.83%,0.18,4.43,0.00%,0.00,0.00
Tuesday,22,PMax | Rem | DE,EUR,18.91,228,13,5.70%,0.33,4.31,0.00%,0.00,0.00
Sunday,3,PMax | Rem | DE,EUR,23.03,42,5,11.90%,0.19,0.97,0.00%,0.00,0.00
Saturday,8,PMax | Rem | UK,EUR,2.71,190,2,1.05%,0.26,0.52,0.00%,0.00,0.00
Thursday,9,PMax | Rem | UK,EUR,37.52,121,8,6.61%,0.57,4.54,0.00%,0.00,0.00
Tuesday,7,PMax | Rem | UK,EUR,9.89,50,4,8.00%,0.12,0.49,0.00%,0.00,0.00
Sunday,8,PMax | Rem | UK,EUR,87.31,42,5,11.90%,0.73,3.67,0.00%,0.00,0.00
Sunday,16,PMax | Rem | UK,EUR,25.70,132,4,3.03%,0.85,3.39,0.00%,0.00,0.00
Friday,20,PMAX | shopping | EU | EN,EUR,14.51,142,1,0.70%,2.06,2.06,0.00%,0.00,0.00
Wednesday,2,PMAX | shopping | EU | EN,EUR,3.87,263,30,11.41%,0.03,1.02,0.00%,0.00,0.00
Sunday,19,PMAX | shopping | EU | EN,EUR,2.32,217,3,1.38%,0.17,0.50,0.00%,0.00,0.00
Monday,4,DGen | EN,EUR,7.35,525,9,1.71%,0.43,3.86,0.00%,0.00,0.00
Monday,14,DGen | EN,EUR,0.70,"1,352",3,0.22%,0.31,0.94,0.00%,0.00,0.00
Sunday,19,DGen | EN,EUR,0.36,"3,170",11,0.35%,0.10,1.14,0.00%,0.00,0.00
Wednesday,22,PMax | Rem | US | EN,EUR,4.85,45,2,4.44%,0.11,0.22,0.00%,0.00,0.00
Wednesday,0,ADa_Panty_NL,EUR,1.85,69,2,2.90%,0.06,0.13,0.00%,0.00,0.00
Wednesday,21,ADa_Panty_NL,EUR,11.55,675,41,6.07%,0.19,7.79,0.00%,0.00,0.00
Monday,2,ADa_Panty_NL,EUR,12.74,14,1,7.14%,0.18,0.18,0.00%,0.00,0.00
Monday,18,ADa_Panty_NL,EUR,13.39,56,1,1.79%,0.75,0.75,0.00%,0.00,0.00
Tuesday,15,S | Brand | EU | DE,EUR,146.67,3,1,33.33%,0.44,0.44,0.00%,0.00,0.00
Monday,0,S | Brand | EU | DE,EUR,5.00,2,1,50.00%,0.01,0.01,100.00%,1.00,0.01
Saturday,0,PMax | Rem | NL | New,EUR,27.31,343,31,9.04%,0.30,9.37,3.23%,1.00,9.37
Friday,21,PMax | Rem | NL | New,EUR,13.81,982,46,4.68%,0.29,13.56,0.00%,0.00,0.00
Wednesday,8,PMax | Rem | NL | New,EUR,3.42,445,23,5.17%,0.07,1.52,0.00%,0.00,0.00
Wednesday,21,PMax | Rem | NL | New,EUR,17.49,906,40,4.42%,0.40,15.85,0.00%,0.00,0.00
Sunday,13,PMax | Rem | NL | New,EUR,17.86,"1,062",44,4.14%,0.43,18.97,0.00%,0.00,0.00
Saturday,19,S | General | EU | EN,EUR,12.19,73,1,1.37%,0.89,0.89,0.00%,0.00,0.00
Friday,16,S | General | EU | EN,EUR,40.20,77,5,6.49%,0.62,3.10,0.00%,0.00,0.00
Thursday,11,S | General | EU | EN,EUR,33.44,93,3,3.23%,1.04,3.11,0.00%,0.00,0.00
Tuesday,2,S | General | EU | EN,EUR,94.38,16,2,12.50%,0.76,1.51,0.00%,0.00,0.00
Monday,6,ADa_Pants_NL,EUR,20.38,64,5,7.81%,0.26,1.30,0.00%,0.00,0.00
Sunday,2,ADa_Pants_NL,EUR,3.99,38,2,5.26%,0.08,0.15,0.00%,0.00,0.00
Wednesday,21,S | Brand | EU | EN,EUR,443.44,1,1,100.00%,0.44,0.44,0.00%,0.00,0.00
Friday,16,PMax | Rem | EU | EN,EUR,5.67,709,47,6.63%,0.09,4.02,0.00%,0.00,0.00
Thursday,13,PMax | Rem | EU | EN,EUR,9.41,376,45,11.97%,0.08,3.54,0.00%,0.00,0.00
Wednesday,21,PMax | Rem | EU | EN,EUR,16.97,221,36,16.29%,0.10,3.75,0.00%,0.00,0.00
Saturday,14,PMax | Rem | AU-NZ | EN,EUR,0.08,12,1,8.33%,0.00,0.00,0.00%,0.00,0.00
Thursday,7,PMax | Rem | AU-NZ | EN,EUR,296.50,14,2,14.29%,2.08,4.15,0.00%,0.00,0.00
Tuesday,15,ADa_Brand_NL,EUR,10.00,2,2,100.00%,0.01,0.02,0.00%,0.00,0.00
Friday,10,PMAX | shopping | EU | EN,EUR,0.00,95,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,13,S | General | UK,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,19,S | General | UK,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,12,PMax | Rem | US | EN,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,17,ADa_Panty_NL,EUR,0.00,96,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,8,Sh | General | NL,EUR,0.00,76,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,11,Sh | General | NL,EUR,0.00,59,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,11,Sh | General | NL,EUR,0.00,76,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,8,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,21,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,3,PMax | Rem | CA | EN,EUR,0.98,28,0,0.00%,0,0.03,0.00%,0.00,0.00
Monday,4,ADa_Pants_NL,EUR,0.28,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,5,PMax | Rem | AU-NZ | EN,EUR,0.24,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,18,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,15,PMax | Rem | AU-NZ | EN,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,8,S | Brand | NL,EUR,321.11,9,2,22.22%,1.45,2.89,50.00%,1.00,2.89
Wednesday,15,S | Brand | NL,EUR,10.00,4,2,50.00%,0.02,0.04,0.00%,0.00,0.00
Sunday,5,S | Brand | NL,EUR,45.00,2,1,50.00%,0.09,0.09,0.00%,0.00,0.00
Thursday,18,PMax | Rem | UK,EUR,21.13,82,7,8.54%,0.25,1.73,0.00%,0.00,0.00
Tuesday,1,PMax | Rem | UK,EUR,6.68,88,10,11.36%,0.06,0.59,0.00%,0.00,0.00
Monday,13,PMax | Rem | UK,EUR,16.68,245,6,2.45%,0.68,4.09,0.00%,0.00,0.00
Sunday,6,PMax | Rem | UK,EUR,0.30,17,1,5.88%,0.01,0.01,0.00%,0.00,0.00
Sunday,19,PMax | Rem | UK,EUR,17.40,114,5,4.39%,0.40,1.98,0.00%,0.00,0.00
Wednesday,5,PMAX | shopping | EU | EN,EUR,9.56,345,70,20.29%,0.05,3.30,0.00%,0.00,0.00
Monday,10,PMAX | shopping | EU | EN,EUR,7.62,255,4,1.57%,0.49,1.94,0.00%,0.00,0.00
Friday,14,DGen | EN,EUR,0.52,"4,447",8,0.18%,0.29,2.31,0.00%,0.00,0.00
Tuesday,17,DGen | EN,EUR,0.77,"2,722",8,0.29%,0.26,2.11,0.00%,0.00,0.00
Monday,1,DGen | EN,EUR,3.18,449,4,0.89%,0.36,1.43,0.00%,0.00,0.00
Monday,22,PMax | Rem | US | EN,EUR,20.67,30,1,3.33%,0.62,0.62,0.00%,0.00,0.00
Friday,10,ADa_Panty_NL,EUR,2.94,81,3,3.70%,0.08,0.24,0.00%,0.00,0.00
Saturday,1,PMax | Rem | NL | New,EUR,4.47,259,29,11.20%,0.04,1.16,0.00%,0.00,0.00
Saturday,9,PMax | Rem | NL | New,EUR,15.57,846,45,5.32%,0.29,13.17,2.22%,1.00,13.17
Monday,0,PMax | Rem | NL | New,EUR,7.44,275,14,5.09%,0.15,2.05,0.00%,0.00,0.00
Monday,5,PMax | Rem | NL | New,EUR,3.17,82,6,7.32%,0.04,0.26,0.00%,0.00,0.00
Saturday,13,S | General | EU | EN,EUR,41.75,80,7,8.75%,0.48,3.34,14.29%,1.00,3.34
Saturday,17,S | General | EU | EN,EUR,37.89,109,6,5.50%,0.69,4.13,0.00%,0.00,0.00
Monday,20,S | General | EU | EN,EUR,36.03,61,4,6.56%,0.55,2.20,0.00%,0.00,0.00
Sunday,2,S | General | EU | EN,EUR,39.72,36,1,2.78%,1.43,1.43,100.00%,1.00,1.43
Friday,16,PMax | Rem | CA | EN,EUR,75.14,10,1,10.00%,0.75,0.75,0.00%,0.00,0.00
Saturday,2,ADa_Pants_NL,EUR,7.41,25,1,4.00%,0.19,0.19,0.00%,0.00,0.00
Friday,9,ADa_Pants_NL,EUR,4.83,167,5,2.99%,0.16,0.81,0.00%,0.00,0.00
Friday,11,ADa_Pants_NL,EUR,13.84,168,5,2.98%,0.46,2.32,0.00%,0.00,0.00
Friday,21,ADa_Pants_NL,EUR,6.99,413,19,4.60%,0.15,2.89,0.00%,0.00,0.00
Friday,18,S | General | NL,EUR,31.33,98,4,4.08%,0.77,3.07,0.00%,0.00,0.00
Thursday,23,S | General | NL,EUR,55.20,65,4,6.15%,0.90,3.59,0.00%,0.00,0.00
Saturday,22,PMax | Rem | EU | EN,EUR,5.55,613,21,3.43%,0.16,3.40,0.00%,0.00,0.00
Friday,13,PMax | Rem | EU | EN,EUR,9.32,553,42,7.59%,0.12,5.15,0.00%,0.00,0.00
Wednesday,14,PMax | Rem | EU | EN,EUR,22.04,508,23,4.53%,0.49,11.20,0.00%,0.00,0.00
Sunday,23,PMax | Rem | EU | EN,EUR,4.08,166,9,5.42%,0.08,0.68,0.00%,0.00,0.00
Wednesday,5,PMax | Rem | UK,EUR,0.58,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,15,S | General | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,14,S | General | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,17,S | General | UK,EUR,0.00,32,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,15,S | General | UK,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,2,PMax | Rem | US | EN,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,22,PMax | Rem | US | EN,EUR,0.00,11,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,9,PMax | Rem | US | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,12,ADa_Panty_NL,EUR,0.00,55,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,5,ADa_Panty_NL,EUR,0.00,14,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,2,Sh | General | NL,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,7,Sh | General | NL,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,15,Sh | General | NL,EUR,0.00,45,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,15,PMax | Rem | CA | EN,EUR,1.76,12,0,0.00%,0,0.02,0.00%,0.00,0.00
Monday,9,PMax | Rem | CA | EN,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,1,PMax | Rem | AU-NZ | EN,EUR,0.27,28,0,0.00%,0,0.01,0.00%,0.00,0.00
Wednesday,5,ADa_Brand_NL,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,10,S | Brand | NL,EUR,41.25,8,1,12.50%,0.33,0.33,100.00%,1.00,0.33
Monday,23,PMax | Rem | DE,EUR,3.95,852,22,2.58%,0.15,3.36,0.00%,0.00,0.00
Saturday,15,PMax | Rem | UK,EUR,0.36,80,2,2.50%,0.01,0.03,0.00%,0.00,0.00
Saturday,23,PMax | Rem | UK,EUR,35.30,110,2,1.82%,1.94,3.88,0.00%,0.00,0.00
Friday,8,PMax | Rem | UK,EUR,11.14,114,2,1.75%,0.64,1.27,0.00%,0.00,0.00
Thursday,20,PMax | Rem | UK,EUR,26.47,104,7,6.73%,0.39,2.75,0.00%,0.00,0.00
Monday,15,PMax | Rem | UK,EUR,13.05,214,7,3.27%,0.40,2.79,14.29%,1.00,2.79
Friday,17,PMAX | shopping | EU | EN,EUR,11.38,116,4,3.45%,0.33,1.32,0.00%,0.00,0.00
Wednesday,6,PMAX | shopping | EU | EN,EUR,5.54,216,32,14.81%,0.04,1.20,0.00%,0.00,0.00
Friday,9,DGen | EN,EUR,0.43,"1,581",5,0.32%,0.13,0.67,0.00%,0.00,0.00
Thursday,11,DGen | EN,EUR,0.35,"3,106",5,0.16%,0.22,1.08,0.00%,0.00,0.00
Tuesday,19,S | General | UK,EUR,270.00,3,1,33.33%,0.81,0.81,0.00%,0.00,0.00
Monday,20,S | General | UK,EUR,165.00,2,1,50.00%,0.33,0.33,0.00%,0.00,0.00
Tuesday,15,PMax | Rem | US | EN,EUR,0.59,77,2,2.60%,0.02,0.05,0.00%,0.00,0.00
Friday,7,ADa_Panty_NL,EUR,3.97,56,3,5.36%,0.07,0.22,0.00%,0.00,0.00
Thursday,7,ADa_Panty_NL,EUR,35.74,501,33,6.59%,0.54,17.91,0.00%,0.00,0.00
Tuesday,14,ADa_Panty_NL,EUR,1.05,114,2,1.75%,0.06,0.12,0.00%,0.00,0.00
Thursday,10,S | Brand | EU | DE,EUR,2.50,4,1,25.00%,0.01,0.01,0.00%,0.00,0.00
Tuesday,4,PMax | Rem | NL | New,EUR,22.71,48,2,4.17%,0.55,1.09,0.00%,0.00,0.00
Tuesday,18,PMax | Rem | NL | New,EUR,4.33,524,33,6.30%,0.07,2.27,0.00%,0.00,0.00
Monday,10,PMax | Rem | NL | New,EUR,11.61,693,27,3.90%,0.30,8.04,0.00%,0.00,0.00
Saturday,9,S | General | EU | EN,EUR,51.89,280,8,2.86%,1.82,14.53,12.50%,1.00,14.53
Saturday,15,S | General | EU | EN,EUR,68.51,103,7,6.80%,1.01,7.06,0.00%,0.00,0.00
Saturday,21,S | General | EU | EN,EUR,37.80,107,5,4.67%,0.81,4.04,0.00%,0.00,0.00
Wednesday,5,S | General | EU | EN,EUR,122.90,29,5,17.24%,0.71,3.56,0.00%,0.00,0.00
Tuesday,11,S | General | EU | EN,EUR,40.58,203,8,3.94%,1.03,8.24,0.00%,0.00,0.00
Tuesday,18,S | General | EU | EN,EUR,34.37,169,6,3.55%,0.97,5.81,0.00%,0.00,0.00
Sunday,7,S | General | EU | EN,EUR,60.45,66,5,7.58%,0.80,3.99,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | CA | EN,EUR,5.13,11,2,18.18%,0.03,0.06,0.00%,0.00,0.00
Sunday,8,PMax | Rem | CA | EN,EUR,2.68,15,1,6.67%,0.04,0.04,0.00%,0.00,0.00
Monday,3,ADa_Pants_NL,EUR,31.55,10,3,30.00%,0.11,0.32,0.00%,0.00,0.00
Monday,17,ADa_Pants_NL,EUR,7.11,96,6,6.25%,0.11,0.68,0.00%,0.00,0.00
Sunday,20,ADa_Pants_NL,EUR,5.03,237,11,4.64%,0.11,1.19,0.00%,0.00,0.00
Sunday,2,S | General | NL,EUR,101.33,15,2,13.33%,0.76,1.52,0.00%,0.00,0.00
Sunday,5,PMax | Rem | EU | EN,EUR,1.52,898,8,0.89%,0.17,1.37,0.00%,0.00,0.00
Friday,13,PMax | Rem | AU-NZ | EN,EUR,120.91,11,1,9.09%,1.33,1.33,0.00%,0.00,0.00
Monday,5,PMax | Rem | AU-NZ | EN,EUR,285.24,29,3,10.34%,2.76,8.27,0.00%,0.00,0.00
Sunday,3,PMax | Rem | AU-NZ | EN,EUR,0.95,57,3,5.26%,0.02,0.05,0.00%,0.00,0.00
Friday,16,S | General | UK,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,14,S | General | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,13,PMax | Rem | US | EN,EUR,0.00,17,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,6,Sh | General | NL,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,22,PMax | Rem | CA | EN,EUR,0.00,12,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,22,S | Brand | EU | EN,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,8,ADa_Brand_NL,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,19,S | Brand | NL,EUR,66.74,22,9,40.91%,0.16,1.47,0.00%,0.00,0.00
Friday,10,PMax | Rem | DE,EUR,13.30,399,13,3.26%,0.41,5.31,0.00%,0.00,0.00
Sunday,22,PMax | Rem | DE,EUR,10.16,208,5,2.40%,0.42,2.11,0.00%,0.00,0.00
Thursday,11,PMax | Rem | UK,EUR,6.27,373,5,1.34%,0.47,2.34,0.00%,0.00,0.00
Thursday,2,PMAX | shopping | EU | EN,EUR,6.36,36,2,5.56%,0.11,0.23,0.00%,0.00,0.00
Thursday,9,PMAX | shopping | EU | EN,EUR,2.41,260,5,1.92%,0.13,0.63,0.00%,0.00,0.00
Tuesday,16,PMAX | shopping | EU | EN,EUR,13.11,255,8,3.14%,0.42,3.34,0.00%,0.00,0.00
Monday,12,PMAX | shopping | EU | EN,EUR,16.10,259,1,0.39%,4.17,4.17,0.00%,0.00,0.00
Saturday,0,DGen | EN,EUR,4.65,784,7,0.89%,0.52,3.65,0.00%,0.00,0.00
Saturday,4,DGen | EN,EUR,4.42,"1,428",9,0.63%,0.70,6.32,0.00%,0.00,0.00
Saturday,14,DGen | EN,EUR,0.36,"4,211",10,0.24%,0.15,1.50,0.00%,0.00,0.00
Monday,22,DGen | EN,EUR,0.97,"1,113",14,1.26%,0.08,1.08,0.00%,0.00,0.00
Sunday,8,DGen | EN,EUR,0.51,"3,298",11,0.33%,0.15,1.67,0.00%,0.00,0.00
Wednesday,9,PMax | Rem | NL | New,EUR,11.89,523,24,4.59%,0.26,6.22,0.00%,0.00,0.00
Monday,17,PMax | Rem | NL | New,EUR,17.61,682,42,6.16%,0.29,12.01,2.38%,1.00,12.01
Saturday,11,S | General | EU | EN,EUR,33.72,151,8,5.30%,0.64,5.09,0.00%,0.00,0.00
Wednesday,13,S | General | EU | EN,EUR,60.86,93,5,5.38%,1.13,5.66,0.00%,0.00,0.00
Friday,6,PMax | Rem | CA | EN,EUR,1.26,12,1,8.33%,0.02,0.02,0.00%,0.00,0.00
Monday,0,PMax | Rem | CA | EN,EUR,3.95,36,1,2.78%,0.14,0.14,0.00%,0.00,0.00
Monday,2,PMax | Rem | CA | EN,EUR,0.85,31,1,3.23%,0.03,0.03,0.00%,0.00,0.00
Sunday,12,PMax | Rem | CA | EN,EUR,30.29,3,1,33.33%,0.09,0.09,0.00%,0.00,0.00
Saturday,20,ADa_Pants_NL,EUR,8.04,120,4,3.33%,0.24,0.96,0.00%,0.00,0.00
Thursday,5,ADa_Pants_NL,EUR,10.10,22,2,9.09%,0.11,0.22,0.00%,0.00,0.00
Thursday,10,S | General | UK,EUR,161.78,3,1,33.33%,0.49,0.49,0.00%,0.00,0.00
Friday,11,ADa_Panty_NL,EUR,6.58,120,8,6.67%,0.10,0.79,0.00%,0.00,0.00
Saturday,19,S | General | NL,EUR,142.61,68,5,7.35%,1.94,9.70,0.00%,0.00,0.00
Wednesday,23,PMax | Rem | EU | EN,EUR,3.58,195,21,10.77%,0.03,0.70,0.00%,0.00,0.00
Tuesday,22,PMax | Rem | EU | EN,EUR,7.55,646,42,6.50%,0.12,4.88,0.00%,0.00,0.00
Monday,3,PMax | Rem | EU | EN,EUR,7.43,76,1,1.32%,0.56,0.56,0.00%,0.00,0.00
Sunday,10,PMax | Rem | EU | EN,EUR,7.11,699,48,6.87%,0.10,4.97,0.00%,0.00,0.00
Tuesday,22,PMax | Rem | AU-NZ | EN,EUR,2.00,5,1,20.00%,0.01,0.01,0.00%,0.00,0.00
Friday,1,PMAX | shopping | EU | EN,EUR,0.00,52,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,5,PMAX | shopping | EU | EN,EUR,0.00,59,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,0,DGen | EN,EUR,0.40,158,0,0.00%,0,0.06,0.00%,0.00,0.00
Saturday,5,Sh | General | NL,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,4,S | General | EU | EN,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,6,PMax | Rem | CA | EN,EUR,0.42,19,0,0.00%,0,0.01,0.00%,0.00,0.00
Friday,8,PMax | Rem | CA | EN,EUR,2.35,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,19,PMax | Rem | CA | EN,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,1,PMax | Rem | CA | EN,EUR,0.57,35,0,0.00%,0,0.02,0.00%,0.00,0.00
Monday,18,S | General | UK,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,19,PMax | Rem | US | EN,EUR,0.00,20,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,18,PMax | Rem | US | EN,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,3,ADa_Panty_NL,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,23,ADa_Panty_NL,EUR,0.00,35,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,2,S | General | NL,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,2,PMax | Rem | AU-NZ | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,19,PMax | Rem | AU-NZ | EN,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,7,S | Brand | NL,EUR,21.67,6,2,33.33%,0.07,0.13,0.00%,0.00,0.00
Tuesday,10,S | Brand | NL,EUR,121.25,8,2,25.00%,0.49,0.97,0.00%,0.00,0.00
Saturday,13,PMax | Rem | DE,EUR,32.53,438,28,6.39%,0.51,14.25,0.00%,0.00,0.00
Thursday,4,PMax | Rem | DE,EUR,9.00,51,3,5.88%,0.15,0.46,0.00%,0.00,0.00
Wednesday,1,PMax | Rem | DE,EUR,0.56,53,2,3.77%,0.01,0.03,0.00%,0.00,0.00
Tuesday,10,PMax | Rem | DE,EUR,4.20,"1,313",26,1.98%,0.21,5.52,0.00%,0.00,0.00
Tuesday,23,PMax | Rem | DE,EUR,13.58,164,7,4.27%,0.32,2.23,0.00%,0.00,0.00
Saturday,0,PMax | Rem | UK,EUR,4.07,127,4,3.15%,0.13,0.52,0.00%,0.00,0.00
Saturday,7,PMax | Rem | UK,EUR,14.49,77,3,3.90%,0.37,1.12,0.00%,0.00,0.00
Saturday,12,PMax | Rem | UK,EUR,6.90,99,3,3.03%,0.23,0.68,0.00%,0.00,0.00
Friday,18,PMax | Rem | UK,EUR,17.04,107,7,6.54%,0.26,1.82,0.00%,0.00,0.00
Thursday,1,PMax | Rem | UK,EUR,8.29,51,3,5.88%,0.14,0.42,0.00%,0.00,0.00
Thursday,17,PMax | Rem | UK,EUR,18.11,74,2,2.70%,0.67,1.34,0.00%,0.00,0.00
Tuesday,5,PMax | Rem | UK,EUR,0.70,14,1,7.14%,0.01,0.01,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | UK,EUR,22.20,132,7,5.30%,0.42,2.93,0.00%,0.00,0.00
Monday,16,PMax | Rem | UK,EUR,16.04,172,9,5.23%,0.31,2.76,0.00%,0.00,0.00
Friday,16,PMAX | shopping | EU | EN,EUR,4.84,179,5,2.79%,0.17,0.87,0.00%,0.00,0.00
Sunday,22,PMAX | shopping | EU | EN,EUR,3.66,192,5,2.60%,0.14,0.70,0.00%,0.00,0.00
Tuesday,13,DGen | EN,EUR,1.13,"4,278",14,0.33%,0.35,4.84,0.00%,0.00,0.00
Tuesday,18,DGen | EN,EUR,0.56,"3,988",12,0.30%,0.18,2.22,0.00%,0.00,0.00
Sunday,0,DGen | EN,EUR,3.13,"1,021",7,0.69%,0.46,3.19,0.00%,0.00,0.00
Wednesday,12,S | General | UK,EUR,52.63,18,1,5.56%,0.95,0.95,100.00%,1.00,0.95
Monday,12,S | General | UK,EUR,176.24,4,1,25.00%,0.70,0.70,0.00%,0.00,0.00
Sunday,11,S | General | UK,EUR,102.50,4,1,25.00%,0.41,0.41,0.00%,0.00,0.00
Thursday,4,PMax | Rem | US | EN,EUR,1.07,359,10,2.79%,0.04,0.39,0.00%,0.00,0.00
Tuesday,23,PMax | Rem | US | EN,EUR,7.14,70,1,1.43%,0.50,0.50,0.00%,0.00,0.00
Saturday,9,ADa_Panty_NL,EUR,4.39,45,1,2.22%,0.20,0.20,0.00%,0.00,0.00
Thursday,8,ADa_Panty_NL,EUR,10.00,641,40,6.24%,0.16,6.41,0.00%,0.00,0.00
Tuesday,7,ADa_Panty_NL,EUR,3.34,116,3,2.59%,0.13,0.39,0.00%,0.00,0.00
Tuesday,10,ADa_Panty_NL,EUR,24.09,115,8,6.96%,0.35,2.77,0.00%,0.00,0.00
Thursday,10,Sh | General | NL,EUR,18.59,128,2,1.56%,1.19,2.38,0.00%,0.00,0.00
Monday,2,PMax | Rem | NL | New,EUR,1.30,87,9,10.34%,0.01,0.11,0.00%,0.00,0.00
Thursday,1,S | General | EU | EN,EUR,88.48,20,4,20.00%,0.44,1.77,0.00%,0.00,0.00
Thursday,17,S | General | EU | EN,EUR,21.00,74,4,5.41%,0.39,1.55,0.00%,0.00,0.00
