Ad schedule day and hour report
1 January 2026 - 26 March 2026
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Sunday,5,PMax | Rem | AU-NZ | EN,EUR,0.94,47,0,0.00%,0,0.04,0.00%,0.00,0.00
Tuesday,9,S | Brand | NL,EUR,100.00,5,3,60.00%,0.17,0.50,33.33%,1.00,0.50
Tuesday,20,S | Brand | NL,EUR,4.17,12,5,41.67%,0.01,0.05,0.00%,0.00,0.00
Sunday,15,S | Brand | NL,EUR,49.46,4,1,25.00%,0.20,0.20,0.00%,0.00,0.00
Wednesday,17,PMax | Rem | DE,EUR,10.91,479,12,2.51%,0.44,5.22,0.00%,0.00,0.00
Thursday,5,PMax | Rem | UK,EUR,55.94,32,1,3.13%,1.79,1.79,0.00%,0.00,0.00
Thursday,8,PMax | Rem | UK,EUR,41.24,128,11,8.59%,0.48,5.28,0.00%,0.00,0.00
Wednesday,10,PMax | Rem | UK,EUR,4.98,120,4,3.33%,0.15,0.60,0.00%,0.00,0.00
Tuesday,4,PMax | Rem | UK,EUR,1.79,26,4,15.38%,0.01,0.05,0.00%,0.00,0.00
Tuesday,18,PMax | Rem | UK,EUR,9.11,100,5,5.00%,0.18,0.91,0.00%,0.00,0.00
Saturday,15,PMAX | shopping | EU | EN,EUR,2.89,186,1,0.54%,0.54,0.54,0.00%,0.00,0.00
Monday,1,PMAX | shopping | EU | EN,EUR,22.88,59,1,1.69%,1.35,1.35,0.00%,0.00,0.00
Monday,15,PMAX | shopping | EU | EN,EUR,7.16,222,1,0.45%,1.59,1.59,0.00%,0.00,0.00
Wednesday,23,DGen | EN,EUR,0.35,"3,131",9,0.29%,0.12,1.11,0.00%,0.00,0.00
Sunday,7,DGen | EN,EUR,0.62,"2,054",11,0.54%,0.12,1.28,0.00%,0.00,0.00
Saturday,21,ADa_Panty_NL,EUR,52.97,37,1,2.70%,1.96,1.96,0.00%,0.00,0.00
Wednesday,10,ADa_Panty_NL,EUR,14.91,301,29,9.63%,0.15,4.49,0.00%,0.00,0.00
Tuesday,0,ADa_Panty_NL,EUR,1.56,41,1,2.44%,0.06,0.06,0.00%,0.00,0.00
Tuesday,12,ADa_Panty_NL,EUR,2.53,103,4,3.88%,0.07,0.26,0.00%,0.00,0.00
Saturday,5,PMax | Rem | NL | New,EUR,4.28,94,14,14.89%,0.03,0.40,0.00%,0.00,0.00
Thursday,4,PMax | Rem | NL | New,EUR,44.37,57,4,7.02%,0.63,2.53,0.00%,0.00,0.00
Saturday,1,S | General | EU | EN,EUR,3.02,52,1,1.92%,0.16,0.16,0.00%,0.00,0.00
Saturday,16,S | General | EU | EN,EUR,30.90,89,5,5.62%,0.55,2.75,0.00%,0.00,0.00
Friday,22,S | General | EU | EN,EUR,7.24,52,1,1.92%,0.38,0.38,0.00%,0.00,0.00
Thursday,5,PMax | Rem | CA | EN,EUR,0.68,34,2,5.88%,0.01,0.02,0.00%,0.00,0.00
Monday,14,PMax | Rem | CA | EN,EUR,7.89,18,3,16.67%,0.05,0.14,0.00%,0.00,0.00
Saturday,12,ADa_Pants_NL,EUR,5.80,175,7,4.00%,0.15,1.02,0.00%,0.00,0.00
Monday,21,ADa_Pants_NL,EUR,2.88,174,6,3.45%,0.08,0.50,0.00%,0.00,0.00
Sunday,7,ADa_Pants_NL,EUR,29.01,135,6,4.44%,0.65,3.92,0.00%,0.00,0.00
Tuesday,15,S | General | NL,EUR,45.79,38,1,2.63%,1.74,1.74,0.00%,0.00,0.00
Saturday,15,PMax | Rem | EU | EN,EUR,17.07,367,20,5.45%,0.31,6.26,0.00%,0.00,0.00
Friday,8,PMax | Rem | EU | EN,EUR,5.04,483,65,13.46%,0.04,2.43,0.00%,0.00,0.00
Wednesday,7,PMax | Rem | EU | EN,EUR,9.74,384,27,7.03%,0.14,3.74,0.00%,0.00,0.00
Tuesday,5,PMax | Rem | EU | EN,EUR,0.36,155,4,2.58%,0.01,0.06,0.00%,0.00,0.00
Wednesday,17,PMAX | shopping | EU | EN,EUR,0.00,107,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,11,S | General | UK,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,0,PMax | Rem | US | EN,EUR,0.00,35,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,19,PMax | Rem | US | EN,EUR,0.16,50,0,0.00%,0,0.01,0.00%,0.00,0.00
Sunday,0,PMax | Rem | US | EN,EUR,0.00,37,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,1,ADa_Panty_NL,EUR,0.00,22,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,4,Sh | General | NL,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,4,S | General | NL,EUR,0.00,42,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,3,S | General | NL,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,8,PMax | Rem | AU-NZ | EN,EUR,0.00,12,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,15,PMax | Rem | AU-NZ | EN,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,1,PMax | Rem | AU-NZ | EN,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,7,S | Brand | NL,EUR,11.25,8,2,25.00%,0.05,0.09,50.00%,1.00,0.09
Friday,15,PMax | Rem | DE,EUR,21.64,419,17,4.06%,0.53,9.07,0.00%,0.00,0.00
Tuesday,2,PMax | Rem | DE,EUR,12.27,56,4,7.14%,0.17,0.69,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | DE,EUR,14.45,270,8,2.96%,0.49,3.90,0.00%,0.00,0.00
Saturday,17,PMax | Rem | UK,EUR,24.47,104,5,4.81%,0.51,2.54,0.00%,0.00,0.00
Friday,9,PMax | Rem | UK,EUR,27.70,127,6,4.72%,0.59,3.52,0.00%,0.00,0.00
Saturday,5,DGen | EN,EUR,3.51,"1,717",17,0.99%,0.35,6.02,0.00%,0.00,0.00
Tuesday,21,S | General | UK,EUR,70.00,8,1,12.50%,0.56,0.56,0.00%,0.00,0.00
Thursday,13,ADa_Panty_NL,EUR,8.22,221,5,2.26%,0.36,1.82,0.00%,0.00,0.00
Tuesday,19,ADa_Panty_NL,EUR,3.53,184,9,4.89%,0.07,0.65,0.00%,0.00,0.00
Friday,12,Sh | General | NL,EUR,14.85,101,1,0.99%,1.50,1.50,0.00%,0.00,0.00
Friday,8,S | Brand | EU | DE,EUR,40.00,2,1,50.00%,0.08,0.08,0.00%,0.00,0.00
Saturday,14,PMax | Rem | NL | New,EUR,11.84,809,26,3.21%,0.37,9.57,0.00%,0.00,0.00
Friday,18,PMax | Rem | NL | New,EUR,12.91,674,49,7.27%,0.18,8.70,0.00%,0.00,0.00
Tuesday,17,PMax | Rem | NL | New,EUR,9.67,448,18,4.02%,0.24,4.33,0.00%,0.00,0.00
Monday,1,PMax | Rem | NL | New,EUR,52.46,121,12,9.92%,0.53,6.35,0.00%,0.00,0.00
Thursday,13,S | General | EU | EN,EUR,64.93,102,7,6.86%,0.95,6.62,0.00%,0.00,0.00
Tuesday,11,PMax | Rem | CA | EN,EUR,31.32,1,1,100.00%,0.03,0.03,0.00%,0.00,0.00
Monday,3,PMax | Rem | CA | EN,EUR,1.54,48,1,2.08%,0.07,0.07,0.00%,0.00,0.00
Wednesday,5,ADa_Pants_NL,EUR,56.12,23,3,13.04%,0.43,1.29,0.00%,0.00,0.00
Wednesday,8,ADa_Pants_NL,EUR,25.48,229,15,6.55%,0.39,5.84,0.00%,0.00,0.00
Wednesday,17,ADa_Pants_NL,EUR,12.99,77,2,2.60%,0.50,1.00,0.00%,0.00,0.00
Wednesday,5,S | General | NL,EUR,168.75,16,1,6.25%,2.70,2.70,0.00%,0.00,0.00
Thursday,2,PMax | Rem | EU | EN,EUR,0.43,91,8,8.79%,0.00,0.04,0.00%,0.00,0.00
Wednesday,5,PMax | Rem | EU | EN,EUR,2.73,158,5,3.16%,0.09,0.43,0.00%,0.00,0.00
Tuesday,6,PMax | Rem | EU | EN,EUR,9.30,305,7,2.30%,0.41,2.84,0.00%,0.00,0.00
Monday,7,PMax | Rem | EU | EN,EUR,1.99,484,38,7.85%,0.03,0.96,0.00%,0.00,0.00
Monday,16,PMax | Rem | EU | EN,EUR,1.20,"1,178",36,3.06%,0.04,1.42,0.00%,0.00,0.00
Thursday,4,PMax | Rem | AU-NZ | EN,EUR,153.24,6,1,16.67%,0.92,0.92,0.00%,0.00,0.00
Wednesday,1,PMax | Rem | AU-NZ | EN,EUR,13.70,77,28,36.36%,0.04,1.05,0.00%,0.00,0.00
Tuesday,12,PMax | Rem | AU-NZ | EN,EUR,1.16,187,1,0.53%,0.22,0.22,0.00%,0.00,0.00
Monday,10,PMax | Rem | AU-NZ | EN,EUR,4.19,63,2,3.17%,0.13,0.26,0.00%,0.00,0.00
Friday,3,PMAX | shopping | EU | EN,EUR,0.00,29,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,0,PMAX | shopping | EU | EN,EUR,0.00,29,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,20,S | General | UK,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,19,S | General | UK,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,13,PMax | Rem | US | EN,EUR,0.00,15,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,3,PMax | Rem | US | EN,EUR,0.00,15,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,15,PMax | Rem | US | EN,EUR,0.00,45,0,0.00%,0,0.00,0.00%,0.00,0.00
