post_id,social_id,share_url,published_at,local_date,week_start,reactions,comments,views,reposts,is_repost,text_preview
7438636226729119744,urn:li:activity:7438636226729119744,https://www.linkedin.com/posts/andrii-daniv_your-content-budget-is-funding-a-bonfire-activity-7438636226729119744-MIpI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-14T19:24:39.630000+02:00,2026-03-14,2026-03-09,2,1,53,0,False,"Your content budget is funding a bonfire, not growth. With 315 tech issues hiding in crawl, not content. Here is how ..."
7438273939606257664,urn:li:activity:7438273939606257664,https://www.linkedin.com/posts/andrii-daniv_your-locked-content-calendar-is-quietly-killing-activity-7438273939606257664-BSGa?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-13T19:25:03.649000+02:00,2026-03-13,2026-03-09,3,1,29,0,False,Your locked content calendar is quietly killing upside The safest SEO plan is often the one you must break Here is ho...
7437911496866693121,urn:li:activity:7437911496866693121,https://www.linkedin.com/posts/andrii-daniv_your-best-google-ads-campaign-can-poison-activity-7437911496866693121-W67C?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-12T19:24:50.566000+02:00,2026-03-12,2026-03-09,2,1,57,1,False,Your 'best' Google Ads campaign can poison pipeline On paper it hits targets while sales calls feel wrong Here is how...
7437549229541052426,urn:li:activity:7437549229541052426,https://www.linkedin.com/posts/andrii-daniv_your-shopping-and-pmax-lie-about-men-21-activity-7437549229541052426-TAjh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-11T19:25:19.305000+02:00,2026-03-11,2026-03-09,2,2,123,1,False,Your Shopping and PMax lie about 'men 21-45'. That tidy persona feels safe while killing your reach. Here is what hap...
7437186836784898048,urn:li:activity:7437186836784898048,https://www.linkedin.com/posts/andrii-daniv_your-roas-drops-from-4-to-2-and-you-still-activity-7437186836784898048-3eM-?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-10T19:25:18.139000+02:00,2026-03-10,2026-03-09,1,1,39,0,False,Your ROAS drops from 4 to 2 and you still add budget Then you blame Google instead of your 3.5 floor Here is how 1 ha...
7436824541693292544,urn:li:activity:7436824541693292544,https://www.linkedin.com/posts/andrii-daniv_your-best-keywords-keep-jittering-in-search-activity-7436824541693292544-eGUO?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACuJcssBSpRfDWhuMposFSW7QX3eWmYGjq8,2026-03-09T19:25:40.258000+02:00,2026-03-09,2026-03-09,6,2,87,0,False,Your best keywords keep jittering in Search Console Your nav quietly sends Google to 5 versions of 1 offer Here is ho...
