Quarter	Day of the week	Hour of the day	Campaign	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Monday	22	PMax | Rem | AU-NZ | EN	EUR	0	12	0	0	0	0	0	0	0
Current Quarter	Wednesday	7	S | Brand | NL	EUR	40	5	2	0.4	0.1	0.2	0	0	0
Current Quarter	Monday	14	S | Brand | NL	EUR	26.43	14	2	0.1429	0.19	0.37	0	0	0
Current Quarter	Friday	3	PMax | Rem | DE	EUR	14.63	50	3	0.06	0.24	0.73	0	0	0
Current Quarter	Friday	13	PMax | Rem | DE	EUR	18.08	345	15	0.0435	0.42	6.24	0	0	0
Current Quarter	Wednesday	8	PMax | Rem | DE	EUR	33.75	230	8	0.0348	0.97	7.76	0	0	0
Current Quarter	Wednesday	21	PMax | Rem | DE	EUR	5.49	543	14	0.0258	0.21	2.98	0	0	0
Current Quarter	Tuesday	9	PMax | Rem | DE	EUR	4.84	1269	26	0.0205	0.24	6.14	0	0	0
Current Quarter	Tuesday	12	PMax | Rem | DE	EUR	24.08	268	13	0.04849999999999999	0.5	6.45	0	0	0
Current Quarter	Saturday	7	PMAX | shopping | EU | EN	EUR	5.16	220	4	0.0182	0.28	1.14	0	0	0
Current Quarter	Friday	19	PMAX | shopping | EU | EN	EUR	5.21	119	1	0.0084	0.62	0.62	0	0	0
Current Quarter	Thursday	16	PMAX | shopping | EU | EN	EUR	18.63	271	2	0.0074	2.53	5.05	0	0	0
Current Quarter	Thursday	18	DGen | EN	EUR	0.47	4915	9	0.0018	0.26	2.31	0	0	0
Current Quarter	Wednesday	14	DGen | EN	EUR	0.38	5131	15	0.0029	0.13	1.96	0	0	0
Current Quarter	Sunday	3	DGen | EN	EUR	0.48	800	5	0.0063	0.08	0.38	0	0	0
Current Quarter	Thursday	19	S | General | UK	EUR	264	5	1	0.2	1.32	1.32	0	0	0
Current Quarter	Monday	0	S | General | UK	EUR	1130	3	2	0.6667000000000001	1.7	3.39	0	0	0
Current Quarter	Saturday	20	ADa_Panty_NL	EUR	20.1	43	1	0.0233	0.86	0.86	0	0	0
Current Quarter	Friday	8	PMax | Rem | NL | New	EUR	5.19	598	35	0.0585	0.09	3.1	0	0	0
Current Quarter	Friday	13	PMax | Rem | NL | New	EUR	28.74	888	45	0.0507	0.57	25.52	0	0	0
Current Quarter	Friday	16	PMax | Rem | NL | New	EUR	23.41	781	50	0.064	0.37	18.28	0	0	0
Current Quarter	Tuesday	10	PMax | Rem | NL | New	EUR	7.21	551	23	0.0417	0.17	3.98	0	0	0
Current Quarter	Monday	9	PMax | Rem | NL | New	EUR	9.69	580	14	0.0241	0.4	5.62	0	0	0
Current Quarter	Monday	19	PMax | Rem | NL | New	EUR	20.69	1153	45	0.039	0.53	23.86	0	0	0
Current Quarter	Friday	23	S | General | EU | EN	EUR	9.64	63	3	0.0476	0.2	0.61	0	0	0
Current Quarter	Wednesday	10	S | General | EU | EN	EUR	38.77	126	7	0.0556	0.7	4.89	0	0	0
Current Quarter	Tuesday	0	S | General | EU | EN	EUR	6.15	65	1	0.0154	0.4	0.4	0	0	0
Current Quarter	Sunday	14	S | General | EU | EN	EUR	51.64	130	10	0.07690000000000001	0.67	6.71	0	0	0
Current Quarter	Sunday	20	S | General | EU | EN	EUR	11.63	98	2	0.0204	0.57	1.14	0	0	0
Current Quarter	Friday	17	PMax | Rem | CA | EN	EUR	69.29	15	3	0.2	0.35	1.04	0	0	0
Current Quarter	Sunday	20	PMax | Rem | CA | EN	EUR	2.5	24	1	0.0417	0.06	0.06	0	0	0
Current Quarter	Friday	23	ADa_Pants_NL	EUR	2.75	134	2	0.0149	0.18	0.37	0	0	0
Current Quarter	Tuesday	19	ADa_Pants_NL	EUR	3.26	366	8	0.0219	0.15	1.19	0	0	0
Current Quarter	Monday	9	ADa_Pants_NL	EUR	14.04	73	7	0.0959	0.15	1.02	0	0	0
Current Quarter	Monday	13	ADa_Pants_NL	EUR	8.76	83	4	0.0482	0.18	0.73	0	0	0
Current Quarter	Friday	22	S | General | NL	EUR	77.93	123	8	0.065	1.2	9.59	0	0	0
Current Quarter	Thursday	8	S | General | NL	EUR	58.85	139	5	0.036	1.64	8.18	0	0	0
Current Quarter	Thursday	9	S | General | NL	EUR	142.66	112	6	0.0536	2.66	15.98	0.1667	1	15.98
Current Quarter	Sunday	18	S | General | NL	EUR	76.94	72	4	0.0556	1.39	5.54	0	0	0
Current Quarter	Thursday	21	PMax | Rem | AU-NZ | EN	EUR	90	14	1	0.07139999999999999	1.26	1.26	0	0	0
Current Quarter	Tuesday	7	PMax | Rem | AU-NZ | EN	EUR	15.49	29	2	0.069	0.22	0.45	0	0	0
Current Quarter	Monday	20	PMax | Rem | AU-NZ | EN	EUR	3.11	11	1	0.0909	0.03	0.03	0	0	0
Current Quarter	Sunday	23	S | General | UK	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Friday	7	PMax | Rem | US | EN	EUR	0	4	0	0	0	0	0	0	0
Current Quarter	Thursday	7	PMax | Rem | US | EN	EUR	0	25	0	0	0	0	0	0	0
Current Quarter	Wednesday	9	PMax | Rem | US | EN	EUR	0	14	0	0	0	0	0	0	0
Current Quarter	Sunday	4	PMax | Rem | US | EN	EUR	0	60	0	0	0	0	0	0	0
Current Quarter	Sunday	6	PMax | Rem | US | EN	EUR	0	15	0	0	0	0	0	0	0
Current Quarter	Saturday	2	ADa_Panty_NL	EUR	0	30	0	0	0	0	0	0	0
Current Quarter	Saturday	6	Sh | General | NL	EUR	0	15	0	0	0	0	0	0	0
Current Quarter	Tuesday	5	Sh | General | NL	EUR	0	5	0	0	0	0	0	0	0
Current Quarter	Sunday	5	S | General | EU | EN	EUR	0	12	0	0	0	0	0	0	0
Current Quarter	Friday	11	PMax | Rem | CA | EN	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Tuesday	17	PMax | Rem | CA | EN	EUR	0	3	0	0	0	0	0	0	0
Current Quarter	Thursday	4	ADa_Pants_NL	EUR	0.4	20	0	0	0	0.01	0	0	0
Current Quarter	Wednesday	0	S | General | NL	EUR	0	16	0	0	0	0	0	0	0
Current Quarter	Wednesday	13	PMax | Rem | AU-NZ | EN	EUR	0	3	0	0	0	0	0	0	0
Current Quarter	Monday	20	ADa_Brand_NL	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Saturday	14	S | Brand | NL	EUR	62.97	13	3	0.2308	0.27	0.82	0	0	0
Current Quarter	Monday	18	S | Brand | NL	EUR	3.33	6	2	0.3333	0.01	0.02	0	0	0
Current Quarter	Saturday	21	PMax | Rem | DE	EUR	21.5	223	10	0.04480000000000001	0.48	4.79	0.1	1	4.79
Current Quarter	Friday	7	PMax | Rem | DE	EUR	7.42	400	15	0.0375	0.2	2.97	0	0	0
Current Quarter	Thursday	7	PMax | Rem | DE	EUR	23.24	184	8	0.0435	0.53	4.28	0	0	0
Current Quarter	Thursday	13	PMax | Rem | DE	EUR	22.83	323	15	0.0464	0.49	7.37	0	0	0
Current Quarter	Sunday	5	PMax | Rem | DE	EUR	39.17	87	6	0.069	0.57	3.41	0	0	0
Current Quarter	Sunday	12	PMax | Rem | DE	EUR	9.33	417	17	0.0408	0.23	3.89	0	0	0
Current Quarter	Saturday	9	PMax | Rem | UK	EUR	92.17	117	11	0.094	0.98	10.78	0.0909	1	10.78
Current Quarter	Sunday	3	PMax | Rem | UK	EUR	32.35	18	3	0.1667	0.19	0.58	0	0	0
Current Quarter	Saturday	3	PMAX | shopping | EU | EN	EUR	9.49	27	1	0.03700000000000001	0.26	0.26	0	0	0
Current Quarter	Thursday	7	PMAX | shopping | EU | EN	EUR	0.66	249	3	0.012	0.05	0.16	0	0	0
Current Quarter	Thursday	21	PMAX | shopping | EU | EN	EUR	5.35	304	3	0.009899999999999999	0.54	1.63	0	0	0
Current Quarter	Wednesday	9	PMAX | shopping | EU | EN	EUR	11.25	211	40	0.1896	0.06	2.37	0.025	1	2.37
Current Quarter	Tuesday	10	PMAX | shopping | EU | EN	EUR	1.51	79	2	0.0253	0.06	0.12	0	0	0
Current Quarter	Sunday	16	PMAX | shopping | EU | EN	EUR	1.43	590	13	0.022	0.06	0.84	0	0	0
Current Quarter	Saturday	15	DGen | EN	EUR	0.38	4287	11	0.0026	0.15	1.64	0	0	0
Current Quarter	Thursday	15	DGen | EN	EUR	0.42	4011	10	0.0025	0.17	1.69	0	0	0
Current Quarter	Tuesday	15	DGen | EN	EUR	0.64	5389	25	0.0046	0.14	3.45	0	0	0
Current Quarter	Saturday	12	PMax | Rem | NL | New	EUR	35.13	723	54	0.0747	0.47	25.4	0	0	0
Current Quarter	Wednesday	3	PMax | Rem | NL | New	EUR	12.12	57	5	0.0877	0.14	0.69	0	0	0
Current Quarter	Monday	7	PMax | Rem | NL | New	EUR	7.12	364	19	0.0522	0.14	2.59	0	0	0
