Quarter	Day of the week	Hour of the day	Campaign	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Thursday	15	S | Brand | NL	EUR	33.72	10	4	0.4	0.08	0.34	0	0	0
Current Quarter	Tuesday	13	S | Brand | NL	EUR	2.5	8	2	0.25	0.01	0.02	0	0	0
Current Quarter	Friday	14	PMax | Rem | DE	EUR	16.28	364	14	0.0385	0.42	5.93	0	0	0
Current Quarter	Friday	19	PMax | Rem | DE	EUR	4.33	350	8	0.0229	0.19	1.52	0	0	0
Current Quarter	Tuesday	11	PMax | Rem | UK	EUR	44.74	109	11	0.1009	0.44	4.88	0	0	0
Current Quarter	Monday	8	PMax | Rem | UK	EUR	40.88	77	3	0.039	1.05	3.15	0	0	0
Current Quarter	Saturday	14	PMAX | shopping | EU | EN	EUR	5.85	142	3	0.0211	0.28	0.83	0	0	0
Current Quarter	Saturday	20	PMAX | shopping | EU | EN	EUR	42.27	145	5	0.0345	1.23	6.13	0	0	0
Current Quarter	Tuesday	20	PMAX | shopping | EU | EN	EUR	1.47	310	4	0.0129	0.11	0.46	0	0	0
Current Quarter	Friday	15	DGen | EN	EUR	0.36	3229	4	0.0012	0.29	1.16	0	0	0
Current Quarter	Monday	13	DGen | EN	EUR	0.58	1000	4	0.004	0.14	0.58	0	0	0
Current Quarter	Sunday	13	DGen | EN	EUR	0.39	3191	10	0.0031	0.12	1.25	0	0	0
Current Quarter	Monday	23	S | General | UK	EUR	287.5	4	2	0.5	0.58	1.15	0	0	0
Current Quarter	Sunday	1	PMax | Rem | US | EN	EUR	25	36	1	0.0278	0.9	0.9	0	0	0
Current Quarter	Friday	16	ADa_Panty_NL	EUR	9.19	318	30	0.0943	0.1	2.92	0	0	0
Current Quarter	Thursday	2	ADa_Panty_NL	EUR	22.98	98	11	0.1122	0.2	2.25	0	0	0
Current Quarter	Thursday	19	ADa_Panty_NL	EUR	4.14	216	11	0.0509	0.08	0.89	0	0	0
Current Quarter	Tuesday	8	ADa_Panty_NL	EUR	0.69	93	1	0.0108	0.06	0.06	0	0	0
Current Quarter	Tuesday	23	ADa_Panty_NL	EUR	8.1	115	10	0.087	0.09	0.93	0	0	0
Current Quarter	Saturday	6	S | General | NL	EUR	251.05	19	2	0.1053	2.39	4.77	0	0	0
Current Quarter	Saturday	18	S | General | NL	EUR	78.7	54	2	0.03700000000000001	2.13	4.25	0	0	0
Current Quarter	Saturday	23	S | General | NL	EUR	70.59	68	3	0.0441	1.6	4.8	0	0	0
Current Quarter	Friday	0	S | General | NL	EUR	29.36	34	2	0.0588	0.5	1	0	0	0
Current Quarter	Thursday	22	S | General | NL	EUR	63.76	93	3	0.0323	1.98	5.93	0	0	0
Current Quarter	Sunday	20	S | General | NL	EUR	66.85	112	6	0.0536	1.25	7.49	0.1667	1	7.49
Current Quarter	Friday	21	PMax | Rem | EU | EN	EUR	11.56	709	45	0.0635	0.18	8.19	0	0	0
Current Quarter	Tuesday	1	PMax | Rem | EU | EN	EUR	0.35	68	3	0.0441	0.01	0.02	0	0	0
Current Quarter	Tuesday	16	PMax | Rem | EU | EN	EUR	7.8	456	21	0.0461	0.17	3.56	0	0	0
Current Quarter	Monday	21	PMax | Rem | EU | EN	EUR	9.58	901	27	0.03	0.32	8.63	0	0	0
Current Quarter	Sunday	12	PMax | Rem | EU | EN	EUR	36.92	364	23	0.0632	0.58	13.44	0	0	0
Current Quarter	Saturday	8	PMax | Rem | AU-NZ | EN	EUR	0.29	67	1	0.0149	0.02	0.02	0	0	0
Current Quarter	Wednesday	13	S | Brand | EU | DE	EUR	4.36	2	1	0.5	0.01	0.01	0	0	0
Current Quarter	Tuesday	13	S | Brand | EU | DE	EUR	5	2	1	0.5	0.01	0.01	0	0	0
Current Quarter	Thursday	7	PMax | Rem | NL | New	EUR	31.75	394	14	0.0355	0.89	12.51	0	0	0
Current Quarter	Monday	8	PMax | Rem | NL | New	EUR	19.21	430	29	0.0674	0.28	8.26	0.0345	1	8.26
Current Quarter	Monday	14	PMax | Rem | NL | New	EUR	18.96	783	28	0.0358	0.53	14.84	0	0	0
Current Quarter	Friday	15	S | General | EU | EN	EUR	93.19	80	7	0.0875	1.07	7.46	0	0	0
Current Quarter	Sunday	2	PMax | Rem | CA | EN	EUR	24.66	29	2	0.069	0.36	0.72	0	0	0
Current Quarter	Sunday	3	PMax | Rem | CA | EN	EUR	1.42	52	5	0.0962	0.01	0.07	0	0	0
Current Quarter	Saturday	13	S | Brand | NL	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Friday	1	S | Brand | NL	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Saturday	9	PMAX | shopping | EU | EN	EUR	0	209	0	0	0	0	0	0	0
Current Quarter	Thursday	1	S | General | UK	EUR	0	11	0	0	0	0	0	0	0
Current Quarter	Friday	18	PMax | Rem | US | EN	EUR	0	10	0	0	0	0	0	0	0
Current Quarter	Saturday	8	ADa_Panty_NL	EUR	0	35	0	0	0	0	0	0	0
Current Quarter	Friday	7	PMax | Rem | AU-NZ | EN	EUR	0	14	0	0	0	0	0	0	0
Current Quarter	Thursday	15	PMax | Rem | AU-NZ | EN	EUR	0	3	0	0	0	0	0	0	0
Current Quarter	Tuesday	6	PMax | Rem | AU-NZ | EN	EUR	0	30	0	0	0	0	0	0	0
Current Quarter	Tuesday	11	ADa_Brand_NL	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Wednesday	18	Sh | General | NL	EUR	0	6	0	0	0	0	0	0	0
Current Quarter	Tuesday	22	PMax | Rem | CA | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Sunday	23	PMax | Rem | CA | EN	EUR	0	18	0	0	0	0	0	0	0
Current Quarter	Saturday	17	PMax | Rem | DE	EUR	28.62	389	14	0.036	0.8	11.13	0	0	0
Current Quarter	Thursday	5	PMax | Rem | DE	EUR	58	79	5	0.0633	0.92	4.58	0	0	0
Current Quarter	Thursday	23	PMax | Rem | DE	EUR	14.25	141	3	0.0213	0.67	2.01	0	0	0
Current Quarter	Wednesday	5	PMax | Rem | DE	EUR	5.9	96	2	0.0208	0.28	0.57	0	0	0
Current Quarter	Monday	22	PMax | Rem | DE	EUR	12.71	729	19	0.0261	0.49	9.26	0	0	0
Current Quarter	Sunday	17	PMax | Rem | DE	EUR	7.33	883	30	0.034	0.22	6.47	0	0	0
Current Quarter	Saturday	10	PMax | Rem | UK	EUR	65.57	71	5	0.0704	0.93	4.66	0	0	0
Current Quarter	Thursday	12	PMax | Rem | UK	EUR	4.33	315	8	0.0254	0.17	1.36	0	0	0
Current Quarter	Wednesday	13	PMax | Rem | UK	EUR	17.15	150	13	0.0867	0.2	2.57	0	0	0
Current Quarter	Sunday	20	PMax | Rem | UK	EUR	16.01	139	5	0.036	0.45	2.23	0	0	0
Current Quarter	Thursday	22	PMAX | shopping | EU | EN	EUR	18.82	200	3	0.015	1.25	3.76	0	0	0
Current Quarter	Wednesday	13	PMAX | shopping | EU | EN	EUR	16.68	235	5	0.0213	0.78	3.92	0	0	0
Current Quarter	Monday	12	DGen | EN	EUR	1.31	684	5	0.0073	0.18	0.89	0	0	0
Current Quarter	Monday	22	S | General | UK	EUR	135	2	1	0.5	0.27	0.27	0	0	0
Current Quarter	Saturday	19	PMax | Rem | US | EN	EUR	53.41	44	1	0.0227	2.35	2.35	0	0	0
Current Quarter	Thursday	22	ADa_Panty_NL	EUR	6.38	199	16	0.08039999999999999	0.08	1.27	0	0	0
Current Quarter	Saturday	15	S | Brand | EU | DE	EUR	17.5	4	1	0.25	0.07	0.07	0	0	0
Current Quarter	Friday	6	PMax | Rem | NL | New	EUR	28.35	218	7	0.0321	0.88	6.18	0	0	0
Current Quarter	Thursday	17	PMax | Rem | NL | New	EUR	14.77	571	29	0.0508	0.29	8.44	0	0	0
Current Quarter	Tuesday	5	PMax | Rem | NL | New	EUR	42.19	85	8	0.0941	0.45	3.59	0	0	0
Current Quarter	Tuesday	14	PMax | Rem | NL | New	EUR	42.71	463	23	0.04969999999999999	0.86	19.78	0	0	0
Current Quarter	Sunday	15	PMax | Rem | NL | New	EUR	12.12	1156	65	0.0562	0.22	14.02	0	0	0
Current Quarter	Saturday	10	S | General | EU | EN	EUR	61.16	197	10	0.0508	1.2	12.05	0.1	1	12.05
Current Quarter	Thursday	20	S | General | EU | EN	EUR	32.52	98	6	0.0612	0.53	3.19	0	0	0
Current Quarter	Wednesday	20	S | General | EU | EN	EUR	45.57	109	7	0.0642	0.71	4.97	0	0	0
Current Quarter	Friday	1	ADa_Pants_NL	EUR	22.63	22	2	0.0909	0.25	0.5	0	0	0
Current Quarter	Wednesday	23	ADa_Pants_NL	EUR	37.08	199	11	0.0553	0.67	7.38	0	0	0
Current Quarter	Tuesday	23	ADa_Pants_NL	EUR	10.94	206	15	0.0728	0.15	2.25	0	0	0
Current Quarter	Sunday	23	S | General | NL	EUR	9.4	50	1	0.02	0.47	0.47	0	0	0
Current Quarter	Sunday	2	PMax | Rem | EU | EN	EUR	4.72	291	10	0.0344	0.14	1.37	0	0	0
Current Quarter	Thursday	9	PMax | Rem | AU-NZ | EN	EUR	10.57	89	1	0.0112	0.94	0.94	0	0	0
Current Quarter	Sunday	17	PMax | Rem | AU-NZ | EN	EUR	244.7	4	2	0.5	0.49	0.98	0	0	0
Current Quarter	Friday	14	S | General | UK	EUR	0	3	0	0	0	0	0	0	0
Current Quarter	Thursday	6	S | General | UK	EUR	0	4	0	0	0	0	0	0	0
Current Quarter	Saturday	10	PMax | Rem | US | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Saturday	12	PMax | Rem | US | EN	EUR	0	5	0	0	0	0	0	0	0
Current Quarter	Saturday	22	PMax | Rem | US | EN	EUR	0	26	0	0	0	0	0	0	0
Current Quarter	Friday	22	PMax | Rem | US | EN	EUR	0	23	0	0	0	0	0	0	0
Current Quarter	Wednesday	10	PMax | Rem | US | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Sunday	0	S | General | NL	EUR	0	76	0	0	0	0	0	0	0
Current Quarter	Saturday	15	PMax | Rem | AU-NZ | EN	EUR	0.98	13	0	0	0	0.01	0	0	0
Current Quarter	Wednesday	14	PMax | Rem | AU-NZ | EN	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Monday	23	PMax | Rem | AU-NZ | EN	EUR	0	10	0	0	0	0	0	0	0
Current Quarter	Saturday	17	ADa_Brand_NL	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Friday	8	S | Brand | NL	EUR	7.5	4	2	0.5	0.02	0.03	0.5	1	0.03
Current Quarter	Tuesday	12	S | Brand | NL	EUR	218.27	6	3	0.5	0.44	1.31	0.6667000000000001	2	0.65
Current Quarter	Thursday	1	PMax | Rem | DE	EUR	11.11	92	2	0.0217	0.51	1.02	0	0	0
Current Quarter	Thursday	19	PMax | Rem | DE	EUR	23.82	281	17	0.0605	0.39	6.69	0	0	0
Current Quarter	Tuesday	15	PMax | Rem | DE	EUR	5.23	847	24	0.0283	0.18	4.43	0	0	0
Current Quarter	Tuesday	22	PMax | Rem | DE	EUR	18.91	228	13	0.057	0.33	4.31	0	0	0
Current Quarter	Sunday	3	PMax | Rem | DE	EUR	23.03	42	5	0.119	0.19	0.97	0	0	0
Current Quarter	Saturday	8	PMax | Rem | UK	EUR	2.71	190	2	0.0105	0.26	0.52	0	0	0
Current Quarter	Thursday	9	PMax | Rem | UK	EUR	37.52	121	8	0.0661	0.57	4.54	0	0	0
Current Quarter	Tuesday	7	PMax | Rem | UK	EUR	9.89	50	4	0.08	0.12	0.49	0	0	0
Current Quarter	Sunday	8	PMax | Rem | UK	EUR	87.31	42	5	0.119	0.73	3.67	0	0	0
Current Quarter	Sunday	16	PMax | Rem | UK	EUR	25.7	132	4	0.0303	0.85	3.39	0	0	0
Current Quarter	Friday	20	PMAX | shopping | EU | EN	EUR	14.51	142	1	0.006999999999999999	2.06	2.06	0	0	0
Current Quarter	Wednesday	2	PMAX | shopping | EU | EN	EUR	3.87	263	30	0.1141	0.03	1.02	0	0	0
Current Quarter	Sunday	19	PMAX | shopping | EU | EN	EUR	2.32	217	3	0.0138	0.17	0.5	0	0	0
Current Quarter	Monday	4	DGen | EN	EUR	7.35	525	9	0.0171	0.43	3.86	0	0	0
Current Quarter	Monday	14	DGen | EN	EUR	0.7	1352	3	0.0022	0.31	0.94	0	0	0
Current Quarter	Sunday	19	DGen | EN	EUR	0.36	3170	11	0.0035	0.1	1.14	0	0	0
Current Quarter	Wednesday	22	PMax | Rem | US | EN	EUR	4.85	45	2	0.0444	0.11	0.22	0	0	0
Current Quarter	Wednesday	0	ADa_Panty_NL	EUR	1.85	69	2	0.029	0.06	0.13	0	0	0
Current Quarter	Wednesday	21	ADa_Panty_NL	EUR	11.55	675	41	0.0607	0.19	7.79	0	0	0
Current Quarter	Monday	2	ADa_Panty_NL	EUR	12.74	14	1	0.07139999999999999	0.18	0.18	0	0	0
Current Quarter	Monday	18	ADa_Panty_NL	EUR	13.39	56	1	0.0179	0.75	0.75	0	0	0
Current Quarter	Tuesday	15	S | Brand | EU | DE	EUR	146.67	3	1	0.3333	0.44	0.44	0	0	0
Current Quarter	Monday	0	S | Brand | EU | DE	EUR	5	2	1	0.5	0.01	0.01	1	1	0.01
Current Quarter	Saturday	0	PMax | Rem | NL | New	EUR	27.31	343	31	0.0904	0.3	9.37	0.0323	1	9.37
Current Quarter	Friday	21	PMax | Rem | NL | New	EUR	13.81	982	46	0.04679999999999999	0.29	13.56	0	0	0
Current Quarter	Wednesday	8	PMax | Rem | NL | New	EUR	3.42	445	23	0.0517	0.07	1.52	0	0	0
Current Quarter	Wednesday	21	PMax | Rem | NL | New	EUR	17.49	906	40	0.0442	0.4	15.85	0	0	0
Current Quarter	Sunday	13	PMax | Rem | NL | New	EUR	17.86	1062	44	0.0414	0.43	18.97	0	0	0
Current Quarter	Saturday	19	S | General | EU | EN	EUR	12.19	73	1	0.0137	0.89	0.89	0	0	0
Current Quarter	Friday	16	S | General | EU | EN	EUR	40.2	77	5	0.0649	0.62	3.1	0	0	0
Current Quarter	Thursday	11	S | General | EU | EN	EUR	33.44	93	3	0.0323	1.04	3.11	0	0	0
Current Quarter	Tuesday	2	S | General | EU | EN	EUR	94.38	16	2	0.125	0.76	1.51	0	0	0
Current Quarter	Monday	6	ADa_Pants_NL	EUR	20.38	64	5	0.0781	0.26	1.3	0	0	0
Current Quarter	Sunday	2	ADa_Pants_NL	EUR	3.99	38	2	0.0526	0.08	0.15	0	0	0
Current Quarter	Wednesday	21	S | Brand | EU | EN	EUR	443.44	1	1	1	0.44	0.44	0	0	0
Current Quarter	Friday	16	PMax | Rem | EU | EN	EUR	5.67	709	47	0.0663	0.09	4.02	0	0	0
Current Quarter	Thursday	13	PMax | Rem | EU | EN	EUR	9.41	376	45	0.1197	0.08	3.54	0	0	0
Current Quarter	Wednesday	21	PMax | Rem | EU | EN	EUR	16.97	221	36	0.1629	0.1	3.75	0	0	0
Current Quarter	Saturday	14	PMax | Rem | AU-NZ | EN	EUR	0.08	12	1	0.0833	0	0	0	0	0
Current Quarter	Thursday	7	PMax | Rem | AU-NZ | EN	EUR	296.5	14	2	0.1429	2.08	4.15	0	0	0
Current Quarter	Tuesday	15	ADa_Brand_NL	EUR	10	2	2	1	0.01	0.02	0	0	0
Current Quarter	Friday	10	PMAX | shopping | EU | EN	EUR	0	95	0	0	0	0	0	0	0
Current Quarter	Monday	13	S | General | UK	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Sunday	19	S | General | UK	EUR	0	8	0	0	0	0	0	0	0
Current Quarter	Monday	12	PMax | Rem | US | EN	EUR	0	8	0	0	0	0	0	0	0
Current Quarter	Sunday	17	ADa_Panty_NL	EUR	0	96	0	0	0	0	0	0	0
Current Quarter	Saturday	8	Sh | General | NL	EUR	0	76	0	0	0	0	0	0	0
Current Quarter	Friday	11	Sh | General | NL	EUR	0	59	0	0	0	0	0	0	0
Current Quarter	Thursday	11	Sh | General | NL	EUR	0	76	0	0	0	0	0	0	0
Current Quarter	Wednesday	8	S | Brand | EU | DE	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Tuesday	21	S | Brand | EU | DE	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Thursday	3	PMax | Rem | CA | EN	EUR	0.98	28	0	0	0	0.03	0	0	0
Current Quarter	Monday	4	ADa_Pants_NL	EUR	0.28	10	0	0	0	0	0	0	0
Current Quarter	Saturday	5	PMax | Rem | AU-NZ | EN	EUR	0.24	21	0	0	0	0	0	0	0
Current Quarter	Wednesday	18	PMax | Rem | AU-NZ | EN	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Sunday	15	PMax | Rem | AU-NZ | EN	EUR	0	7	0	0	0	0	0	0	0
Current Quarter	Thursday	8	S | Brand | NL	EUR	321.11	9	2	0.2222	1.45	2.89	0.5	1	2.89
Current Quarter	Wednesday	15	S | Brand | NL	EUR	10	4	2	0.5	0.02	0.04	0	0	0
Current Quarter	Sunday	5	S | Brand | NL	EUR	45	2	1	0.5	0.09	0.09	0	0	0
Current Quarter	Thursday	18	PMax | Rem | UK	EUR	21.13	82	7	0.08539999999999999	0.25	1.73	0	0	0
Current Quarter	Tuesday	1	PMax | Rem | UK	EUR	6.68	88	10	0.1136	0.06	0.59	0	0	0
Current Quarter	Monday	13	PMax | Rem | UK	EUR	16.68	245	6	0.0245	0.68	4.09	0	0	0
Current Quarter	Sunday	6	PMax | Rem | UK	EUR	0.3	17	1	0.0588	0.01	0.01	0	0	0
Current Quarter	Sunday	19	PMax | Rem | UK	EUR	17.4	114	5	0.04389999999999999	0.4	1.98	0	0	0
Current Quarter	Wednesday	5	PMAX | shopping | EU | EN	EUR	9.56	345	70	0.2029	0.05	3.3	0	0	0
Current Quarter	Monday	10	PMAX | shopping | EU | EN	EUR	7.62	255	4	0.0157	0.49	1.94	0	0	0
Current Quarter	Friday	14	DGen | EN	EUR	0.52	4447	8	0.0018	0.29	2.31	0	0	0
Current Quarter	Tuesday	17	DGen | EN	EUR	0.77	2722	8	0.0029	0.26	2.11	0	0	0
Current Quarter	Monday	1	DGen | EN	EUR	3.18	449	4	0.0089	0.36	1.43	0	0	0
Current Quarter	Monday	22	PMax | Rem | US | EN	EUR	20.67	30	1	0.0333	0.62	0.62	0	0	0
Current Quarter	Friday	10	ADa_Panty_NL	EUR	2.94	81	3	0.03700000000000001	0.08	0.24	0	0	0
Current Quarter	Saturday	1	PMax | Rem | NL | New	EUR	4.47	259	29	0.112	0.04	1.16	0	0	0
Current Quarter	Saturday	9	PMax | Rem | NL | New	EUR	15.57	846	45	0.0532	0.29	13.17	0.0222	1	13.17
Current Quarter	Monday	0	PMax | Rem | NL | New	EUR	7.44	275	14	0.0509	0.15	2.05	0	0	0
Current Quarter	Monday	5	PMax | Rem | NL | New	EUR	3.17	82	6	0.0732	0.04	0.26	0	0	0
Current Quarter	Saturday	13	S | General | EU | EN	EUR	41.75	80	7	0.0875	0.48	3.34	0.1429	1	3.34
Current Quarter	Saturday	17	S | General | EU | EN	EUR	37.89	109	6	0.055	0.69	4.13	0	0	0
Current Quarter	Monday	20	S | General | EU | EN	EUR	36.03	61	4	0.06559999999999999	0.55	2.2	0	0	0
Current Quarter	Sunday	2	S | General | EU | EN	EUR	39.72	36	1	0.0278	1.43	1.43	1	1	1.43
Current Quarter	Friday	16	PMax | Rem | CA | EN	EUR	75.14	10	1	0.1	0.75	0.75	0	0	0
Current Quarter	Saturday	2	ADa_Pants_NL	EUR	7.41	25	1	0.04	0.19	0.19	0	0	0
Current Quarter	Friday	9	ADa_Pants_NL	EUR	4.83	167	5	0.0299	0.16	0.81	0	0	0
Current Quarter	Friday	11	ADa_Pants_NL	EUR	13.84	168	5	0.0298	0.46	2.32	0	0	0
Current Quarter	Friday	21	ADa_Pants_NL	EUR	6.99	413	19	0.046	0.15	2.89	0	0	0
Current Quarter	Friday	18	S | General | NL	EUR	31.33	98	4	0.0408	0.77	3.07	0	0	0
Current Quarter	Thursday	23	S | General | NL	EUR	55.2	65	4	0.06150000000000001	0.9	3.59	0	0	0
Current Quarter	Saturday	22	PMax | Rem | EU | EN	EUR	5.55	613	21	0.0343	0.16	3.4	0	0	0
Current Quarter	Friday	13	PMax | Rem | EU | EN	EUR	9.32	553	42	0.0759	0.12	5.15	0	0	0
Current Quarter	Wednesday	14	PMax | Rem | EU | EN	EUR	22.04	508	23	0.0453	0.49	11.2	0	0	0
Current Quarter	Sunday	23	PMax | Rem | EU | EN	EUR	4.08	166	9	0.0542	0.08	0.68	0	0	0
Current Quarter	Wednesday	5	PMax | Rem | UK	EUR	0.58	5	0	0	0	0	0	0	0
Current Quarter	Saturday	15	S | General | UK	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Thursday	14	S | General | UK	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Wednesday	17	S | General | UK	EUR	0	32	0	0	0	0	0	0	0
Current Quarter	Sunday	15	S | General | UK	EUR	0	5	0	0	0	0	0	0	0
Current Quarter	Friday	2	PMax | Rem | US | EN	EUR	0	6	0	0	0	0	0	0	0
Current Quarter	Thursday	22	PMax | Rem | US | EN	EUR	0	11	0	0	0	0	0	0	0
Current Quarter	Monday	9	PMax | Rem | US | EN	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Saturday	12	ADa_Panty_NL	EUR	0	55	0	0	0	0	0	0	0
Current Quarter	Friday	5	ADa_Panty_NL	EUR	0	14	0	0	0	0	0	0	0
Current Quarter	Friday	2	Sh | General | NL	EUR	0	10	0	0	0	0	0	0	0
Current Quarter	Friday	7	Sh | General | NL	EUR	0	21	0	0	0	0	0	0	0
Current Quarter	Friday	15	Sh | General | NL	EUR	0	45	0	0	0	0	0	0	0
Current Quarter	Thursday	15	PMax | Rem | CA | EN	EUR	1.76	12	0	0	0	0.02	0	0	0
Current Quarter	Monday	9	PMax | Rem | CA | EN	EUR	0	6	0	0	0	0	0	0	0
Current Quarter	Monday	1	PMax | Rem | AU-NZ | EN	EUR	0.27	28	0	0	0	0.01	0	0	0
Current Quarter	Wednesday	5	ADa_Brand_NL	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Monday	10	S | Brand | NL	EUR	41.25	8	1	0.125	0.33	0.33	1	1	0.33
Current Quarter	Monday	23	PMax | Rem | DE	EUR	3.95	852	22	0.0258	0.15	3.36	0	0	0
Current Quarter	Saturday	15	PMax | Rem | UK	EUR	0.36	80	2	0.025	0.01	0.03	0	0	0
Current Quarter	Saturday	23	PMax | Rem | UK	EUR	35.3	110	2	0.0182	1.94	3.88	0	0	0
Current Quarter	Friday	8	PMax | Rem | UK	EUR	11.14	114	2	0.0175	0.64	1.27	0	0	0
Current Quarter	Thursday	20	PMax | Rem | UK	EUR	26.47	104	7	0.0673	0.39	2.75	0	0	0
Current Quarter	Monday	15	PMax | Rem | UK	EUR	13.05	214	7	0.0327	0.4	2.79	0.1429	1	2.79
Current Quarter	Friday	17	PMAX | shopping | EU | EN	EUR	11.38	116	4	0.0345	0.33	1.32	0	0	0
Current Quarter	Wednesday	6	PMAX | shopping | EU | EN	EUR	5.54	216	32	0.1481	0.04	1.2	0	0	0
Current Quarter	Friday	9	DGen | EN	EUR	0.43	1581	5	0.0032	0.13	0.67	0	0	0
Current Quarter	Thursday	11	DGen | EN	EUR	0.35	3106	5	0.0016	0.22	1.08	0	0	0
Current Quarter	Tuesday	19	S | General | UK	EUR	270	3	1	0.3333	0.81	0.81	0	0	0
Current Quarter	Monday	20	S | General | UK	EUR	165	2	1	0.5	0.33	0.33	0	0	0
Current Quarter	Tuesday	15	PMax | Rem | US | EN	EUR	0.59	77	2	0.026	0.02	0.05	0	0	0
Current Quarter	Friday	7	ADa_Panty_NL	EUR	3.97	56	3	0.0536	0.07	0.22	0	0	0
Current Quarter	Thursday	7	ADa_Panty_NL	EUR	35.74	501	33	0.0659	0.54	17.91	0	0	0
Current Quarter	Tuesday	14	ADa_Panty_NL	EUR	1.05	114	2	0.0175	0.06	0.12	0	0	0
Current Quarter	Thursday	10	S | Brand | EU | DE	EUR	2.5	4	1	0.25	0.01	0.01	0	0	0
Current Quarter	Tuesday	4	PMax | Rem | NL | New	EUR	22.71	48	2	0.0417	0.55	1.09	0	0	0
Current Quarter	Tuesday	18	PMax | Rem | NL | New	EUR	4.33	524	33	0.063	0.07	2.27	0	0	0
Current Quarter	Monday	10	PMax | Rem | NL | New	EUR	11.61	693	27	0.039	0.3	8.04	0	0	0
Current Quarter	Saturday	9	S | General | EU | EN	EUR	51.89	280	8	0.0286	1.82	14.53	0.125	1	14.53
Current Quarter	Saturday	15	S | General | EU | EN	EUR	68.51	103	7	0.068	1.01	7.06	0	0	0
Current Quarter	Saturday	21	S | General | EU | EN	EUR	37.8	107	5	0.0467	0.81	4.04	0	0	0
Current Quarter	Wednesday	5	S | General | EU | EN	EUR	122.9	29	5	0.1724	0.71	3.56	0	0	0
Current Quarter	Tuesday	11	S | General | EU | EN	EUR	40.58	203	8	0.0394	1.03	8.24	0	0	0
Current Quarter	Tuesday	18	S | General | EU | EN	EUR	34.37	169	6	0.0355	0.97	5.81	0	0	0
Current Quarter	Sunday	7	S | General | EU | EN	EUR	60.45	66	5	0.0758	0.8	3.99	0	0	0
Current Quarter	Wednesday	17	PMax | Rem | CA | EN	EUR	5.13	11	2	0.1818	0.03	0.06	0	0	0
Current Quarter	Sunday	8	PMax | Rem | CA | EN	EUR	2.68	15	1	0.0667	0.04	0.04	0	0	0
Current Quarter	Monday	3	ADa_Pants_NL	EUR	31.55	10	3	0.3	0.11	0.32	0	0	0
Current Quarter	Monday	17	ADa_Pants_NL	EUR	7.11	96	6	0.0625	0.11	0.68	0	0	0
Current Quarter	Sunday	20	ADa_Pants_NL	EUR	5.03	237	11	0.0464	0.11	1.19	0	0	0
Current Quarter	Sunday	2	S | General | NL	EUR	101.33	15	2	0.1333	0.76	1.52	0	0	0
Current Quarter	Sunday	5	PMax | Rem | EU | EN	EUR	1.52	898	8	0.0089	0.17	1.37	0	0	0
Current Quarter	Friday	13	PMax | Rem | AU-NZ | EN	EUR	120.91	11	1	0.0909	1.33	1.33	0	0	0
Current Quarter	Monday	5	PMax | Rem | AU-NZ | EN	EUR	285.24	29	3	0.1034	2.76	8.27	0	0	0
Current Quarter	Sunday	3	PMax | Rem | AU-NZ | EN	EUR	0.95	57	3	0.0526	0.02	0.05	0	0	0
Current Quarter	Friday	16	S | General | UK	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Monday	14	S | General | UK	EUR	0	1	0	0	0	0	0	0	0
Current Quarter	Tuesday	13	PMax | Rem | US | EN	EUR	0	17	0	0	0	0	0	0	0
Current Quarter	Friday	6	Sh | General | NL	EUR	0	7	0	0	0	0	0	0	0
Current Quarter	Monday	22	PMax | Rem | CA | EN	EUR	0	12	0	0	0	0	0	0	0
Current Quarter	Monday	22	S | Brand | EU | EN	EUR	0	3	0	0	0	0	0	0	0
Current Quarter	Tuesday	8	ADa_Brand_NL	EUR	0	2	0	0	0	0	0	0	0
Current Quarter	Monday	19	S | Brand | NL	EUR	66.74	22	9	0.4091	0.16	1.47	0	0	0
Current Quarter	Friday	10	PMax | Rem | DE	EUR	13.3	399	13	0.0326	0.41	5.31	0	0	0
Current Quarter	Sunday	22	PMax | Rem | DE	EUR	10.16	208	5	0.024	0.42	2.11	0	0	0
Current Quarter	Thursday	11	PMax | Rem | UK	EUR	6.27	373	5	0.0134	0.47	2.34	0	0	0
Current Quarter	Thursday	2	PMAX | shopping | EU | EN	EUR	6.36	36	2	0.0556	0.11	0.23	0	0	0
