Quarter	Device	Level	Campaign	Ad group	Bid adj.	Ad group bid adj.	Currency code	Avg. CPM	Impr.	Interactions	Interaction rate	Avg. cost	Cost	Conv. rate	Conversions	Cost / conv.
Current Quarter	Computers	Campaign	DGen | EN	--	--	None	EUR	0.34	261382	286	0.0011	0.31	89.71	0	0	0
Current Quarter	TV screens	Campaign	DGen | EN	--	--	None	EUR	0.25	44	0	0	0	0.01	0	0	0
Current Quarter	Mobile Phones	Campaign	DGen | EN	--	--	None	EUR	1.29	174533	1102	0.0063	0.2	224.39	0	0	0
Current Quarter	Tablets	Campaign	DGen | EN	--	--	None	EUR	0.76	10454	52	0.005	0.15	7.93	0	0	0
Current Quarter	Tablets	Campaign	PMax | Rem | EU | EN	--	--	None	EUR	11.78	1194	122	0.1022	0.12	14.07	0	0	0
Current Quarter	Computers	Campaign	S | Brand | NL	--	--	None	EUR	107.9	150	44	0.2933	0.37	16.18	0.0682	3	5.39
Current Quarter	Mobile Phones	Campaign	PMax | Rem | EU | EN	--	--	None	EUR	11.61	35866	2632	0.07339999999999999	0.16	416.37	0.0019	5	83.27
Current Quarter	Tablets	Campaign	S | Brand | NL	--	--	None	EUR	270	13	4	0.3077	0.88	3.51	0	0	0
Current Quarter	Computers	Campaign	PMax | Rem | EU | EN	--	--	None	EUR	3.7	39309	1169	0.0297	0.12	145.46	0.0008	0.88	165
Current Quarter	Mobile Phones	Campaign	S | Brand | NL	--	--	None	EUR	97.63	821	263	0.3203	0.3	80.15	0.1682	44.25	1.81
Current Quarter	TV screens	Campaign	PMax | Rem | EU | EN	--	--	None	EUR	2.83	207	95	0.4589	0.01	0.59	0	0	0
Current Quarter	Tablets	Campaign	PMax | Rem | UK	--	--	None	EUR	9.43	676	77	0.1139	0.08	6.38	0	0	0
Current Quarter	TV screens	Campaign	PMax | Rem | NL | New	--	--	None	EUR	8.35	402	248	0.6169	0.01	3.36	0	0	0
Current Quarter	Computers	Campaign	PMax | Rem | NL | New	--	--	None	EUR	17.43	8667	106	0.0122	1.43	151.09	0.0283	3	50.36
Current Quarter	Mobile Phones	Campaign	PMax | Rem | NL | New	--	--	None	EUR	17.28	81378	4620	0.0568	0.3	1406.34	0.0074	34.25	41.06
Current Quarter	Tablets	Campaign	PMax | Rem | NL | New	--	--	None	EUR	9.07	3936	183	0.04650000000000001	0.2	35.69	0.0164	3	11.9
Current Quarter	Mobile Phones	Campaign	PMax | Rem | UK	--	--	None	EUR	20.17	11381	653	0.0574	0.35	229.55	0.0077	5	45.91
Current Quarter	TV screens	Campaign	PMax | Rem | UK	--	--	None	EUR	7.75	77	39	0.5065	0.02	0.6	0	0	0
Current Quarter	Computers	Campaign	PMax | Rem | UK	--	--	None	EUR	9.94	6588	97	0.0147	0.67	65.46	0	0	0
