Device,Impressions,Clicks,CTR,CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. Rate,ROAS
mobile devices with full browsers,850718,14014,0.01647314386200833,1.083473853503639,15183.802583,2484571.946223001,2469388.143640001,842.0,18.03301969477435,0.056441882289851183,163.63305124928078
computers,135768,1926,0.014185964292027576,1.7064408463136032,3286.60507,24941.940504,21655.335433999997,176.0,18.673892443181817,0.08547838756677999,7.588967938882903
tablets with full browsers,103968,220,0.002116035703293321,0.8256559045454546,181.644299,2338.81,2157.165701,12.0,15.137024916666666,0.027777777777777776,12.875768812320391
TV screens,37,0,0.0,0.0,1.311852,0.0,-1.311852,0.0,0.0,0.0,0.0
unknown,89,5,0.056179775280898875,0.14671379999999998,0.733569,143.9,143.16643100000002,1.0,0.733569,0.2,196.16423267613544
