Country/Territory,Impressions,Clicks,CTR,CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. Rate,ROAS
Australia,1087291,15119,0.013905201091520117,1.1423961372445268,17271.887199,131195.076727,113923.189528,914.0,18.897031946389497,0.055796349429216775,7.595873873851832
United States,2043,667,0.32648066568771417,1.514512443778111,1010.1798,2376875.71,2375865.5302,87.0,11.611262068965518,0.13043478260869565,2352.9234201673803
Canada,500,131,0.262,1.6525106717557252,216.478898,896.24,679.761102,6.0,36.07981633333333,0.04580152671755725,4.140080203105986
New Zealand,575,204,0.35478260869565215,0.7064539166666667,144.116599,2375.22,2231.103401,19.0,7.5850841578947374,0.09313725490196079,16.481238222947518
Singapore,171,44,0.2573099415204678,0.2598835681818182,11.434877,404.4,392.96512299999995,2.0,5.7174385,0.045454545454545456,35.36548753432153
