Device,Impressions,Clicks,CTR,CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. rate,ROAS
mobile devices with full browsers,164461,2828,0.017195566122059334,1.1268366821074964,3186.694137,11072.27895,7885.5848129999995,82,38.86212362195122,0.021134020618556702,3.474534572189474
computers,26674,363,0.013608757591662293,1.495951691460055,543.030464,2595.63,2052.599536,23,23.610020173913043,0.04251386321626617,4.779897578637503
tablets with full browsers,28007,46,0.0016424465312243368,0.8049596521739131,37.028144,401.8,364.771856,3,12.342714666666666,0.031914893617021274,10.851205504656134
