Week Start,Week End,Impressions,Clicks,CTR,CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. Rate,ROAS
2025-12-29,2026-01-04,61862,664,0.010733568264847565,1.248251593373494,828.839058,3720.11538,2891.276322,30.0,27.627968600000003,0.026455026455026454,4.488344684161832
2025-12-22,2025-12-28,77337,795,0.010279685014934637,1.2082674327044025,960.572609,2218.41,1257.8373909999998,17.0,56.50427111764706,0.017471736896197326,2.309466227971529
2025-12-15,2025-12-21,98719,998,0.010109502729970927,1.3207216893787574,1318.080246,5726.845558,4408.7653119999995,40.0,32.952006149999995,0.038314176245210725,4.344838317226401
2025-12-08,2025-12-14,117821,1363,0.011568396126327225,1.3290778268525312,1811.533078,10546.19446,8734.661382,68.0,26.640192323529412,0.04657534246575343,5.821695771431009
2025-12-01,2025-12-07,112995,1534,0.01357582193902385,1.2757339367666234,1956.975859,2385059.278605001,2383102.302746001,111.0,17.630413144144143,0.07007575757575757,1218.747419717149
2025-11-24,2025-11-30,106754,1723,0.016139910448320437,1.1575287759721415,1994.422081,22755.697552,20761.275471,161.0,12.387714788819876,0.08994413407821229,11.40966988321265
2025-11-17,2025-11-23,98269,1753,0.01783878944529811,1.1864083394181402,2079.773819,16704.596022,14624.822203000002,126.0,16.50614142063492,0.06607236497115888,8.031929178737297
2025-11-10,2025-11-16,85787,1539,0.017939781085712286,1.0619432579597141,1634.330674,17847.996888,16213.666214,134.0,12.19649756716418,0.0777262180974478,10.92067668553102
2025-11-03,2025-11-09,75511,1399,0.018527102011627446,1.02089170192995,1428.227491,12656.330391,11228.1029,91.0,15.694807593406594,0.06412966878083157,8.861564751241719
2025-10-27,2025-11-02,67568,1160,0.017167890125503196,1.1100531603448276,1287.661666,10082.523429,8794.861763,71.0,18.1360798028169,0.06027164685908319,7.830102965106053
2025-10-20,2025-10-26,63972,1018,0.01591321203026324,1.0952949410609036,1115.01025,9198.222969,8083.212719,67.0,16.641944029850745,0.0634469696969697,8.249451490692575
2025-10-13,2025-10-19,61597,1036,0.016819000925369743,0.9598596689189189,994.414617,7535.878917,6541.4643,57.0,17.44587047368421,0.05195989061075661,7.5782061005243655
2025-10-06,2025-10-12,57378,985,0.017166858377775453,1.08304625177665,1066.800558,7154.066556,6087.265998,54.0,19.75556588888889,0.05304518664047151,6.7060956261704545
2025-09-29,2025-10-05,53806,764,0.014199159944987548,1.095133884816754,836.682288,5411.264172,4574.581884,40.0,20.9170572,0.04801920768307323,6.4675256660865275
