Month,Impressions,Clicks,CTR,Avg CPC,Cost,Revenue,Profit,Conversions,CPA,Conv. Rate,ROAS,Value / Conv.
2025-10-01,268930,4380,0.01628676607295579,1.069648049086758,4685.058455,32999.330363,28314.271908000002,243.0,19.280075946502055,0.053103146853146856,7.043525855644847,135.79971342798353
2025-11-01,385047,6786,0.0176238225463385,1.1097282808723843,7530.616114,74406.792361,66876.176247,543.0,13.868537963167586,0.07522859517871987,9.880571686913106,137.02908353775322
2025-12-01,436603,4999,0.011449760995687158,1.287942149229846,6438.422804,2404590.474003001,2398152.0511990013,245.0,26.279276751020408,0.0434936978519439,373.47508034251814,9814.654995930618
